"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","20-24 years","20-24",25,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","25-29 years","25-29",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","30-34 years","30-34",61,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","35-39 years","35-39",52,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","40-44 years","40-44",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","45-49 years","45-49",50,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","50-54 years","50-54",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","55-59 years","55-59",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","60-64 years ","60-64",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","90-94 years","90-94",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","15-19 years","15-19",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","20-24 years","20-24",16,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","25-29 years","25-29",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","30-34 years","30-34",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","35-39 years","35-39",55,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","40-44 years","40-44",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","45-49 years","45-49",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","50-54 years","50-54",52,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","55-59 years","55-59",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","60-64 years ","60-64",20,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","75-79 years","75-79",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","85-89 years","85-89",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","90-94 years","90-94",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","20-24 years","20-24",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","25-29 years","25-29",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","30-34 years","30-34",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","35-39 years","35-39",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","40-44 years","40-44",37,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","45-49 years","45-49",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","50-54 years","50-54",46,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","55-59 years","55-59",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","60-64 years ","60-64",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","65-69 years","65-69",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","85-89 years","85-89",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","20-24 years","20-24",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","25-29 years","25-29",60,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","30-34 years","30-34",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","35-39 years","35-39",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","40-44 years","40-44",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","45-49 years","45-49",40,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","50-54 years","50-54",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","55-59 years","55-59",25,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","60-64 years ","60-64",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","75-79 years","75-79",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","85-89 years","85-89",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","20-24 years","20-24",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","25-29 years","25-29",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","30-34 years","30-34",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","35-39 years","35-39",60,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","40-44 years","40-44",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","45-49 years","45-49",44,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","50-54 years","50-54",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","55-59 years","55-59",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","60-64 years ","60-64",25,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","75-79 years","75-79",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","20-24 years","20-24",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","25-29 years","25-29",61,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","30-34 years","30-34",67,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","35-39 years","35-39",67,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","40-44 years","40-44",38,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","45-49 years","45-49",33,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","50-54 years","50-54",46,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","55-59 years","55-59",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","60-64 years ","60-64",20,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","80-84 years","80-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","20-24 years","20-24",16,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","25-29 years","25-29",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","30-34 years","30-34",66,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","35-39 years","35-39",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","40-44 years","40-44",44,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","45-49 years","45-49",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","50-54 years","50-54",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","55-59 years","55-59",40,Not Applicable,Not Applicable
