"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2019","2019","Aug., 2019","2019/08",435,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2019","2019","Sep., 2019","2019/09",378,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2019","2019","Oct., 2019","2019/10",409,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2019","2019","Nov., 2019","2019/11",386,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2019","2019","Dec., 2019","2019/12",426,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Jan., 2020","2020/01",410,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Feb., 2020","2020/02",404,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Mar., 2020","2020/03",431,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Apr., 2020","2020/04",482,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","May, 2020","2020/05",503,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Jun., 2020","2020/06",443,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Jul., 2020","2020/07",505,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Aug., 2020","2020/08",401,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Sep., 2020","2020/09",427,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Oct., 2020","2020/10",416,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Nov., 2020","2020/11",417,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2020","2020","Dec., 2020","2020/12",462,Not Applicable,Not Applicable
,"Division 2: Middle Atlantic","CENS-D2","1999","1999","Jan., 1999","1999/01",229,Not Applicable,Not Applicable
,"Division 2: Middle Atlantic","CENS-D2","1999","1999","Feb., 1999","1999/02",243,Not Applicable,Not Applicable
