"Notes","Census Region","Census Region Code","Year","Year Code","Month","Month Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","89 years","89",1322,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","90 years","90",1334,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","91 years","91",1196,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","92 years","92",985,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","93 years","93",890,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","94 years","94",722,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","95 years","95",636,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","96 years","96",482,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","97 years","97",360,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","98 years","98",338,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","99 years","99",205,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","100+ years","100",433,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","< 1 year","0",314,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","1 year","1",17,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","2 years","2",22,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","3 years","3",18,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","4 years","4",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","5 years","5",13,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","6 years","6",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","7 years","7",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","8 years","8",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","9 years","9",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","10 years","10",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","11 years","11",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","12 years","12",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","13 years","13",12,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","14 years","14",11,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","15 years","15",16,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","16 years","16",22,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","17 years","17",32,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","18 years","18",38,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","19 years","19",31,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","20 years","20",28,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","21 years","21",28,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","22 years","22",35,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","23 years","23",40,Not Applicable,Not Applicable
