Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,25-29 years,25-29,Female,F,82,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,25-29 years,25-29,Male,M,151,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,30-34 years,30-34,Female,F,120,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,30-34 years,30-34,Male,M,270,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,35-39 years,35-39,Female,F,200,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,35-39 years,35-39,Male,M,356,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,40-44 years,40-44,Female,F,290,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,40-44 years,40-44,Male,M,484,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,45-49 years,45-49,Female,F,382,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,45-49 years,45-49,Male,M,630,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,50-54 years,50-54,Female,F,514,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,50-54 years,50-54,Male,M,803,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,15-19 years,15-19,Female,F,53,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,15-19 years,15-19,Male,M,136,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,20-24 years,20-24,Female,F,64,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,20-24 years,20-24,Male,M,161,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,25-29 years,25-29,Female,F,80,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,25-29 years,25-29,Male,M,170,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,30-34 years,30-34,Female,F,106,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,30-34 years,30-34,Male,M,233,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,35-39 years,35-39,Female,F,182,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,35-39 years,35-39,Male,M,362,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,40-44 years,40-44,Female,F,245,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,40-44 years,40-44,Male,M,481,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,45-49 years,45-49,Female,F,356,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,45-49 years,45-49,Male,M,646,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,50-54 years,50-54,Female,F,495,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,50-54 years,50-54,Male,M,749,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,15-19 years,15-19,Female,F,42,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,15-19 years,15-19,Male,M,129,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,20-24 years,20-24,Female,F,63,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,20-24 years,20-24,Male,M,205,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,25-29 years,25-29,Female,F,53,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,25-29 years,25-29,Male,M,177,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,30-34 years,30-34,Female,F,140,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,30-34 years,30-34,Male,M,261,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,35-39 years,35-39,Female,F,251,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,35-39 years,35-39,Male,M,361,Not Applicable,Not Applicable
