Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,40-44 years,40-44,Female,F,73,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,40-44 years,40-44,Male,M,131,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,45-49 years,45-49,Female,F,75,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,45-49 years,45-49,Male,M,153,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,50-54 years,50-54,Female,F,132,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,50-54 years,50-54,Male,M,211,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,15-19 years,15-19,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,15-19 years,15-19,Male,M,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,20-24 years,20-24,Female,F,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,20-24 years,20-24,Male,M,26,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,25-29 years,25-29,Female,F,15,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,25-29 years,25-29,Male,M,38,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,30-34 years,30-34,Female,F,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,30-34 years,30-34,Male,M,47,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,35-39 years,35-39,Female,F,42,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,35-39 years,35-39,Male,M,74,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,40-44 years,40-44,Female,F,59,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,40-44 years,40-44,Male,M,97,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,45-49 years,45-49,Female,F,88,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,45-49 years,45-49,Male,M,145,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,50-54 years,50-54,Female,F,124,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Nov., 1999",1999/11,50-54 years,50-54,Male,M,164,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,15-19 years,15-19,Female,F,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,15-19 years,15-19,Male,M,25,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,20-24 years,20-24,Female,F,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,20-24 years,20-24,Male,M,27,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,25-29 years,25-29,Female,F,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,25-29 years,25-29,Male,M,39,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,30-34 years,30-34,Female,F,31,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,30-34 years,30-34,Male,M,44,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,35-39 years,35-39,Female,F,53,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,35-39 years,35-39,Male,M,89,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,40-44 years,40-44,Female,F,65,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,40-44 years,40-44,Male,M,131,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,45-49 years,45-49,Female,F,91,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,45-49 years,45-49,Male,M,145,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,50-54 years,50-54,Female,F,132,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Dec., 1999",1999/12,50-54 years,50-54,Male,M,192,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jan., 2000",2000/01,15-19 years,15-19,Female,F,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jan., 2000",2000/01,15-19 years,15-19,Male,M,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jan., 2000",2000/01,20-24 years,20-24,Female,F,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Jan., 2000",2000/01,20-24 years,20-24,Male,M,26,Not Applicable,Not Applicable
