Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,15-19 years,15-19,Female,F,15,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,15-19 years,15-19,Male,M,24,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,20-24 years,20-24,Female,F,27,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,20-24 years,20-24,Male,M,59,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,25-29 years,25-29,Female,F,18,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,25-29 years,25-29,Male,M,68,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,30-34 years,30-34,Female,F,43,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,30-34 years,30-34,Male,M,73,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,35-39 years,35-39,Female,F,66,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,35-39 years,35-39,Male,M,85,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,40-44 years,40-44,Female,F,67,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,40-44 years,40-44,Male,M,114,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,45-49 years,45-49,Female,F,117,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,45-49 years,45-49,Male,M,162,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,50-54 years,50-54,Female,F,227,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Feb., 2014",2014/02,50-54 years,50-54,Male,M,359,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,15-19 years,15-19,Female,F,20,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,15-19 years,15-19,Male,M,35,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,20-24 years,20-24,Female,F,23,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,20-24 years,20-24,Male,M,70,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,25-29 years,25-29,Female,F,33,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,25-29 years,25-29,Male,M,67,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,30-34 years,30-34,Female,F,34,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,30-34 years,30-34,Male,M,76,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,35-39 years,35-39,Female,F,58,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,35-39 years,35-39,Male,M,83,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,40-44 years,40-44,Female,F,84,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,40-44 years,40-44,Male,M,138,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,45-49 years,45-49,Female,F,142,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,45-49 years,45-49,Male,M,219,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,50-54 years,50-54,Female,F,237,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Mar., 2014",2014/03,50-54 years,50-54,Male,M,404,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,15-19 years,15-19,Female,F,15,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,15-19 years,15-19,Male,M,40,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,20-24 years,20-24,Female,F,28,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,20-24 years,20-24,Male,M,76,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,25-29 years,25-29,Female,F,40,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,25-29 years,25-29,Male,M,81,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,30-34 years,30-34,Female,F,42,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,30-34 years,30-34,Male,M,96,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,35-39 years,35-39,Female,F,53,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,35-39 years,35-39,Male,M,91,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,40-44 years,40-44,Female,F,80,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,40-44 years,40-44,Male,M,121,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,45-49 years,45-49,Female,F,99,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,45-49 years,45-49,Male,M,196,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,50-54 years,50-54,Female,F,220,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Apr., 2014",2014/04,50-54 years,50-54,Male,M,350,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,15-19 years,15-19,Female,F,16,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,15-19 years,15-19,Male,M,42,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,20-24 years,20-24,Female,F,29,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,20-24 years,20-24,Male,M,70,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,25-29 years,25-29,Female,F,30,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,25-29 years,25-29,Male,M,90,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,30-34 years,30-34,Female,F,41,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,30-34 years,30-34,Male,M,83,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,35-39 years,35-39,Female,F,46,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,35-39 years,35-39,Male,M,99,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,40-44 years,40-44,Female,F,85,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,40-44 years,40-44,Male,M,115,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,45-49 years,45-49,Female,F,138,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,45-49 years,45-49,Male,M,215,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,50-54 years,50-54,Female,F,211,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"May, 2014",2014/05,50-54 years,50-54,Male,M,354,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,15-19 years,15-19,Female,F,10,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,15-19 years,15-19,Male,M,52,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,20-24 years,20-24,Female,F,18,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,20-24 years,20-24,Male,M,78,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,25-29 years,25-29,Female,F,33,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,25-29 years,25-29,Male,M,83,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,30-34 years,30-34,Female,F,48,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,30-34 years,30-34,Male,M,89,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,35-39 years,35-39,Female,F,49,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,35-39 years,35-39,Male,M,82,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,40-44 years,40-44,Female,F,81,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,40-44 years,40-44,Male,M,110,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,45-49 years,45-49,Female,F,109,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,45-49 years,45-49,Male,M,185,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,50-54 years,50-54,Female,F,213,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jun., 2014",2014/06,50-54 years,50-54,Male,M,345,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,15-19 years,15-19,Female,F,10,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,15-19 years,15-19,Male,M,39,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,20-24 years,20-24,Female,F,31,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,20-24 years,20-24,Male,M,93,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,25-29 years,25-29,Female,F,35,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,25-29 years,25-29,Male,M,66,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,30-34 years,30-34,Female,F,38,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,30-34 years,30-34,Male,M,84,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,35-39 years,35-39,Female,F,49,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,35-39 years,35-39,Male,M,90,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,40-44 years,40-44,Female,F,78,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,40-44 years,40-44,Male,M,101,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,45-49 years,45-49,Female,F,139,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,45-49 years,45-49,Male,M,200,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,50-54 years,50-54,Female,F,208,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Jul., 2014",2014/07,50-54 years,50-54,Male,M,349,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,15-19 years,15-19,Female,F,17,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,15-19 years,15-19,Male,M,48,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,20-24 years,20-24,Female,F,23,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,20-24 years,20-24,Male,M,83,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,25-29 years,25-29,Female,F,36,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,25-29 years,25-29,Male,M,91,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,30-34 years,30-34,Female,F,43,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,30-34 years,30-34,Male,M,106,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,35-39 years,35-39,Female,F,61,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,35-39 years,35-39,Male,M,86,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,40-44 years,40-44,Female,F,69,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,40-44 years,40-44,Male,M,110,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,45-49 years,45-49,Female,F,125,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,45-49 years,45-49,Male,M,196,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,50-54 years,50-54,Female,F,221,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Aug., 2014",2014/08,50-54 years,50-54,Male,M,359,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,15-19 years,15-19,Female,F,21,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,15-19 years,15-19,Male,M,37,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,20-24 years,20-24,Female,F,39,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,20-24 years,20-24,Male,M,77,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,25-29 years,25-29,Female,F,30,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,25-29 years,25-29,Male,M,66,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,30-34 years,30-34,Female,F,36,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,30-34 years,30-34,Male,M,83,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,35-39 years,35-39,Female,F,52,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,35-39 years,35-39,Male,M,87,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,40-44 years,40-44,Female,F,64,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,40-44 years,40-44,Male,M,113,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,45-49 years,45-49,Female,F,140,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,45-49 years,45-49,Male,M,193,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,50-54 years,50-54,Female,F,225,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Sep., 2014",2014/09,50-54 years,50-54,Male,M,351,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,15-19 years,15-19,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,15-19 years,15-19,Male,M,50,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,20-24 years,20-24,Female,F,25,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,20-24 years,20-24,Male,M,66,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,25-29 years,25-29,Female,F,30,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,25-29 years,25-29,Male,M,73,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,30-34 years,30-34,Female,F,35,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,30-34 years,30-34,Male,M,88,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,35-39 years,35-39,Female,F,51,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,35-39 years,35-39,Male,M,106,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,40-44 years,40-44,Female,F,85,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,40-44 years,40-44,Male,M,106,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,45-49 years,45-49,Female,F,129,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,45-49 years,45-49,Male,M,199,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,50-54 years,50-54,Female,F,227,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Oct., 2014",2014/10,50-54 years,50-54,Male,M,367,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,15-19 years,15-19,Female,F,19,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,15-19 years,15-19,Male,M,44,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,20-24 years,20-24,Female,F,32,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,20-24 years,20-24,Male,M,72,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,25-29 years,25-29,Female,F,29,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,25-29 years,25-29,Male,M,92,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,30-34 years,30-34,Female,F,49,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,30-34 years,30-34,Male,M,74,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,35-39 years,35-39,Female,F,60,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,35-39 years,35-39,Male,M,100,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,40-44 years,40-44,Female,F,86,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,40-44 years,40-44,Male,M,125,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,45-49 years,45-49,Female,F,126,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,45-49 years,45-49,Male,M,195,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,50-54 years,50-54,Female,F,224,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Nov., 2014",2014/11,50-54 years,50-54,Male,M,344,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,15-19 years,15-19,Female,F,18,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,15-19 years,15-19,Male,M,40,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,20-24 years,20-24,Female,F,27,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,20-24 years,20-24,Male,M,81,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,25-29 years,25-29,Female,F,39,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,25-29 years,25-29,Male,M,82,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,30-34 years,30-34,Female,F,41,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,30-34 years,30-34,Male,M,86,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,35-39 years,35-39,Female,F,60,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,35-39 years,35-39,Male,M,91,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,40-44 years,40-44,Female,F,108,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,40-44 years,40-44,Male,M,125,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,45-49 years,45-49,Female,F,127,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,45-49 years,45-49,Male,M,197,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,50-54 years,50-54,Female,F,253,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2014,2014,"Dec., 2014",2014/12,50-54 years,50-54,Male,M,407,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,15-19 years,15-19,Female,F,13,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,15-19 years,15-19,Male,M,46,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,20-24 years,20-24,Female,F,33,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,20-24 years,20-24,Male,M,81,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,25-29 years,25-29,Female,F,32,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,25-29 years,25-29,Male,M,74,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,30-34 years,30-34,Female,F,44,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,30-34 years,30-34,Male,M,95,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,35-39 years,35-39,Female,F,66,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,35-39 years,35-39,Male,M,89,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,40-44 years,40-44,Female,F,86,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,40-44 years,40-44,Male,M,130,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,45-49 years,45-49,Female,F,113,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,45-49 years,45-49,Male,M,203,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,50-54 years,50-54,Female,F,259,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Jan., 2015",2015/01,50-54 years,50-54,Male,M,380,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,15-19 years,15-19,Female,F,13,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,15-19 years,15-19,Male,M,31,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,20-24 years,20-24,Female,F,20,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,20-24 years,20-24,Male,M,54,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,25-29 years,25-29,Female,F,26,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,25-29 years,25-29,Male,M,60,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,30-34 years,30-34,Female,F,40,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,30-34 years,30-34,Male,M,77,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,35-39 years,35-39,Female,F,45,Not Applicable,Not Applicable
,Division 4: West North Central,CENS-D4,2015,2015,"Feb., 2015",2015/02,35-39 years,35-39,Male,M,77,Not Applicable,Not Applicable
