"Region","Sex","Age","Age.Group.Code","Year","Deaths","n_months","Population","Rate","socio_score","rate_health_care_coverage_ccf","rate_alochol_consum_ccf","Total_Population"
"Northeast","Male",35,"35-39",2016,1325,12,1712743,0.000773612853767319,124.60635816588,-0.907436288035029,1.90920956550674,56042330
"Northeast","Male",35,"35-39",2017,1673,12,1738405,0.000962376431268893,124.60635816588,-0.863494230134961,-2.71904656347905,56059240
"Northeast","Male",35,"35-39",2018,1602,12,1761592,0.000909404674862284,124.60635816588,-0.302997954803857,-0.0212361157716003,56046620
"Northeast","Male",35,"35-39",2019,1551,12,1777037,0.000872801185343918,124.60635816588,0.342030849435545,0.167758805783961,55982803
"Northeast","Male",40,"40-44",2005,583,12,2135952,0.000272946208529031,125.771120400338,0.0392163002208562,0.0263865683319368,54598185
"Northeast","Male",40,"40-44",2006,753,12,2090480,0.000360204354980674,125.771120400338,-0.116796849015725,-0.0811040006760612,54710026
"Northeast","Male",40,"40-44",2007,674,12,2037193,0.000330847396392978,125.771120400338,-0.151773272696795,1.16585153847028,54879379
"Northeast","Male",40,"40-44",2008,540,12,1985878,0.000271920027312856,125.771120400338,0.464069363482404,-1.40431278068639,55060196
"Northeast","Male",40,"40-44",2009,495,12,1932365,0.000256162784981098,125.771120400338,-0.559609904358339,1.68615866265262,55283679
"Northeast","Male",40,"40-44",2010,515,12,1902068,0.000270757932944564,125.872096176182,0.250399134917629,0.146314253686235,55380134
"Northeast","Male",40,"40-44",2011,570,12,1885077,0.000302374916250105,125.872096176182,-2.98179070807511,1.3280482825167,55604223
"Northeast","Male",40,"40-44",2012,571,12,1854532,0.000307894390606363,125.872096176182,2.47129862918953,-4.31312093356184,55775216
"Northeast","Male",40,"40-44",2013,628,12,1808133,0.000347319583238622,125.872096176182,0.655100850451618,1.46479695364015,55901806
"Northeast","Male",40,"40-44",2014,648,12,1754772,0.000369278743905191,125.872096176182,1.69914076014452,-0.142074217958772,56006011
"Northeast","Male",40,"40-44",2015,756,12,1696357,0.000445660907462285,124.60635816588,-0.684680652872487,1.06210397477298,56034684
"Northeast","Male",40,"40-44",2016,1067,12,1638625,0.000651155694560989,124.60635816588,-0.907436288035029,1.90920956550674,56042330
"Northeast","Male",40,"40-44",2017,1159,12,1613865,0.000718151766101873,124.60635816588,-0.863494230134961,-2.71904656347905,56059240
"Northeast","Male",40,"40-44",2018,1177,12,1613569,0.000729438902209946,124.60635816588,-0.302997954803857,-0.0212361157716003,56046620
"Northeast","Male",40,"40-44",2019,1278,12,1623495,0.000787190598061589,124.60635816588,0.342030849435545,0.167758805783961,55982803
"Northeast","Male",45,"45-49",2005,606,12,2102729,0.000288196909825279,125.771120400338,0.0392163002208562,0.0263865683319368,54598185
"Northeast","Male",45,"45-49",2006,725,12,2122361,0.000341600698467414,125.771120400338,-0.116796849015725,-0.0811040006760612,54710026
