"Notes","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Census Region 2: Midwest","CENS-R2","2013","2013",601688,67547890,890.8,888.5,893.0,1.1,760.1,758.1,762.0,1.0
,"Census Region 2: Midwest","CENS-R2","2014","2014",609364,67745108,899.5,897.2,901.8,1.2,758.8,756.8,760.7,1.0
,"Census Region 2: Midwest","CENS-R2","2015","2015",623806,67907403,918.6,916.3,920.9,1.2,766.7,764.8,768.7,1.0
,"Census Region 2: Midwest","CENS-R2","2016","2016",627149,67941429,923.1,920.8,925.4,1.2,763.9,762.0,765.9,1.0
,"Census Region 2: Midwest","CENS-R2","2017","2017",644378,68179351,945.1,942.8,947.4,1.2,772.2,770.3,774.1,1.0
,"Census Region 2: Midwest","CENS-R2","2018","2018",649652,68308744,951.1,948.7,953.4,1.2,765.8,763.9,767.7,1.0
,"Census Region 2: Midwest","CENS-R2","2019","2019",650493,68329004,952.0,949.7,954.3,1.2,757.7,755.8,759.6,1.0
,"Census Region 2: Midwest","CENS-R2","2020","2020",766131,68316744,1121.4,1118.9,1124.0,1.3,885.6,883.6,887.6,1.0
"Total","Census Region 2: Midwest","CENS-R2",,,13240256,1466121214,903.1,902.6,903.6,0.2,799.0,798.6,799.4,0.2
,"Census Region 3: South","CENS-R3","1999","1999",879903,99164460,887.3,885.5,889.2,0.9,918.0,916.1,919.9,1.0
,"Census Region 3: South","CENS-R3","2000","2000",894012,100236820,891.9,890.1,893.7,0.9,920.5,918.5,922.4,1.0
,"Census Region 3: South","CENS-R3","2001","2001",899013,101849575,882.7,880.9,884.5,0.9,909.7,907.8,911.6,1.0
,"Census Region 3: South","CENS-R3","2002","2002",911668,103150787,883.8,882.0,885.6,0.9,908.7,906.8,910.6,1.0
,"Census Region 3: South","CENS-R3","2003","2003",917423,104380188,878.9,877.1,880.7,0.9,898.8,896.9,900.6,0.9
,"Census Region 3: South","CENS-R3","2004","2004",903221,105883977,853.0,851.3,854.8,0.9,868.8,867.0,870.6,0.9
,"Census Region 3: South","CENS-R3","2005","2005",925170,107479771,860.8,859.0,862.5,0.9,869.8,868.0,871.6,0.9
,"Census Region 3: South","CENS-R3","2006","2006",918847,109076933,842.4,840.7,844.1,0.9,843.8,842.1,845.6,0.9
,"Census Region 3: South","CENS-R3","2007","2007",924360,110688742,835.1,833.4,836.8,0.9,829.9,828.2,831.6,0.9
,"Census Region 3: South","CENS-R3","2008","2008",944536,112184930,841.9,840.2,843.6,0.9,828.4,826.7,830.1,0.9
,"Census Region 3: South","CENS-R3","2009","2009",936670,113548615,824.9,823.2,826.6,0.9,803.2,801.6,804.8,0.8
,"Census Region 3: South","CENS-R3","2010","2010",952654,114555744,831.6,829.9,833.3,0.9,802.6,801.0,804.3,0.8
,"Census Region 3: South","CENS-R3","2011","2011",963512,116046736,830.3,828.6,831.9,0.8,786.8,785.2,788.4,0.8
,"Census Region 3: South","CENS-R3","2012","2012",983701,117257221,838.9,837.3,840.6,0.8,782.4,780.9,784.0,0.8
,"Census Region 3: South","CENS-R3","2013","2013",1006376,118383453,850.1,848.4,851.8,0.8,779.3,777.8,780.9,0.8
,"Census Region 3: South","CENS-R3","2014","2014",1025281,119771934,856.0,854.4,857.7,0.8,773.9,772.4,775.4,0.8
,"Census Region 3: South","CENS-R3","2015","2015",1058274,121182847,873.3,871.6,875.0,0.8,778.5,777.0,780.0,0.8
,"Census Region 3: South","CENS-R3","2016","2016",1076471,122319574,880.0,878.4,881.7,0.8,773.5,772.1,775.0,0.8
,"Census Region 3: South","CENS-R3","2017","2017",1106032,123658624,894.4,892.8,896.1,0.9,777.0,775.5,778.4,0.7
,"Census Region 3: South","CENS-R3","2018","2018",1120965,124753948,898.5,896.9,900.2,0.8,767.6,766.2,769.1,0.7
,"Census Region 3: South","CENS-R3","2019","2019",1129532,125580448,899.4,897.8,901.1,0.8,757.1,755.7,758.5,0.7
,"Census Region 3: South","CENS-R3","2020","2020",1335538,126662754,1054.4,1052.6,1056.2,0.9,876.9,875.4,878.5,0.8
"Total","Census Region 3: South","CENS-R3",,,21813159,2497818081,873.3,872.9,873.7,0.2,823.4,823.1,823.8,0.2
,"Census Region 4: West","CENS-R4","1999","1999",443374,62431872,710.2,708.1,712.3,1.1,811.4,809.0,813.8,1.2
,"Census Region 4: West","CENS-R4","2000","2000",444665,63197932,703.6,701.5,705.7,1.1,798.8,796.4,801.1,1.2
,"Census Region 4: West","CENS-R4","2001","2001",454687,64427327,705.7,703.7,707.8,1.0,794.7,792.3,797.0,1.2
,"Census Region 4: West","CENS-R4","2002","2002",461869,65312198,707.2,705.1,709.2,1.0,790.2,787.9,792.5,1.2
,"Census Region 4: West","CENS-R4","2003","2003",470353,66116338,711.4,709.4,713.4,1.0,785.7,783.5,788.0,1.1
,"Census Region 4: West","CENS-R4","2004","2004",458831,66965483,685.2,683.2,687.2,1.0,750.3,748.2,752.5,1.1
,"Census Region 4: West","CENS-R4","2005","2005",472716,67833726,696.9,694.9,698.9,1.0,752.4,750.2,754.6,1.1
,"Census Region 4: West","CENS-R4","2006","2006",474626,68751765,690.3,688.4,692.3,1.0,736.4,734.3,738.5,1.1
,"Census Region 4: West","CENS-R4","2007","2007",472975,69595414,679.6,677.7,681.5,1.0,714.9,712.9,717.0,1.0
,"Census Region 4: West","CENS-R4","2008","2008",478934,70509175,679.3,677.3,681.2,1.0,705.8,703.7,707.8,1.0
,"Census Region 4: West","CENS-R4","2009","2009",476279,71341376,667.6,665.7,669.5,1.0,683.2,681.3,685.2,1.0
,"Census Region 4: West","CENS-R4","2010","2010",480644,71945553,668.1,666.2,670.0,1.0,676.2,674.2,678.1,1.0
,"Census Region 4: West","CENS-R4","2011","2011",494727,72864748,679.0,677.1,680.9,1.0,672.3,670.4,674.2,1.0
,"Census Region 4: West","CENS-R4","2012","2012",500912,73579431,680.8,678.9,682.7,1.0,661.7,659.9,663.6,0.9
,"Census Region 4: West","CENS-R4","2013","2013",513410,74254423,691.4,689.5,693.3,1.0,660.9,659.0,662.7,0.9
