Census Division Code,Sex Code,Age Group Code,Month Code,Deaths
CENS-D1,F,5-9,2012/12,0
CENS-D1,F,5-9,2013/01,0
CENS-D1,F,5-9,2013/02,0
CENS-D1,F,5-9,2013/03,0
CENS-D1,F,5-9,2013/04,0
CENS-D1,F,5-9,2013/05,0
CENS-D1,F,5-9,2013/06,0
CENS-D1,F,5-9,2013/07,0
CENS-D1,F,5-9,2013/08,Suppressed
CENS-D1,F,5-9,2013/09,0
CENS-D1,F,5-9,2013/10,0
CENS-D1,F,5-9,2013/11,0
CENS-D1,F,5-9,2013/12,0
CENS-D1,F,5-9,2014/01,0
CENS-D1,F,5-9,2014/02,0
CENS-D1,F,5-9,2014/03,0
CENS-D1,F,5-9,2014/04,0
CENS-D1,F,5-9,2014/05,0
CENS-D1,F,5-9,2014/06,0
CENS-D1,F,5-9,2014/07,0
CENS-D1,F,5-9,2014/08,0
CENS-D1,F,5-9,2014/09,0
CENS-D1,F,5-9,2014/10,0
CENS-D1,F,5-9,2014/11,0
CENS-D1,F,5-9,2014/12,0
CENS-D1,F,5-9,2015/01,0
CENS-D1,F,5-9,2015/02,0
CENS-D1,F,5-9,2015/03,0
CENS-D1,F,5-9,2015/04,0
CENS-D1,F,5-9,2015/05,0
CENS-D1,F,5-9,2015/06,Suppressed
CENS-D1,F,5-9,2015/07,0
CENS-D1,F,5-9,2015/08,0
CENS-D1,F,5-9,2015/09,0
CENS-D1,F,5-9,2015/10,0
CENS-D1,F,5-9,2015/11,0
CENS-D1,F,5-9,2015/12,0
CENS-D1,F,5-9,2016/01,0
CENS-D1,F,5-9,2016/02,0
CENS-D1,F,5-9,2016/03,0
CENS-D1,F,5-9,2016/04,0
CENS-D1,F,5-9,2016/05,0
CENS-D1,F,5-9,2016/06,0
CENS-D1,F,5-9,2016/07,0
CENS-D1,F,5-9,2016/08,Suppressed
CENS-D1,F,5-9,2016/09,0
CENS-D1,F,5-9,2016/10,0
CENS-D1,F,5-9,2016/11,0
CENS-D1,F,5-9,2016/12,0
CENS-D1,F,5-9,2017/01,0
CENS-D1,F,5-9,2017/02,0
CENS-D1,F,5-9,2017/03,0
CENS-D1,F,5-9,2017/04,0
CENS-D1,F,5-9,2017/05,0
CENS-D1,F,5-9,2017/06,0
CENS-D1,F,5-9,2017/07,0
CENS-D1,F,5-9,2017/08,0
CENS-D1,F,5-9,2017/09,0
CENS-D1,F,5-9,2017/10,0
CENS-D1,F,5-9,2017/11,0
CENS-D1,F,5-9,2017/12,0
CENS-D1,F,5-9,2018/01,0
CENS-D1,F,5-9,2018/02,0
CENS-D1,F,5-9,2018/03,0
CENS-D1,F,5-9,2018/04,0
CENS-D1,F,5-9,2018/05,0
CENS-D1,F,5-9,2018/06,0
CENS-D1,F,5-9,2018/07,0
CENS-D1,F,5-9,2018/08,0
CENS-D1,F,5-9,2018/09,0
CENS-D1,F,5-9,2018/10,0
CENS-D1,F,5-9,2018/11,0
CENS-D1,F,5-9,2018/12,0
CENS-D1,F,5-9,2019/01,0
CENS-D1,F,5-9,2019/02,0
CENS-D1,F,5-9,2019/03,0
CENS-D1,F,5-9,2019/04,0
CENS-D1,F,5-9,2019/05,0
CENS-D1,F,5-9,2019/06,0
CENS-D1,F,5-9,2019/07,0
CENS-D1,F,5-9,2019/08,0
CENS-D1,F,5-9,2019/09,0
CENS-D1,F,5-9,2019/10,0
CENS-D1,F,5-9,2019/11,0
CENS-D1,F,5-9,2019/12,0
CENS-D1,F,5-9,2020/01,0
CENS-D1,F,5-9,2020/02,0
CENS-D1,F,5-9,2020/03,0
CENS-D1,F,5-9,2020/04,0
CENS-D1,F,5-9,2020/05,0
CENS-D1,F,5-9,2020/06,0
CENS-D1,F,5-9,2020/07,0
CENS-D1,F,5-9,2020/08,0
CENS-D1,F,5-9,2020/09,0
CENS-D1,F,5-9,2020/10,0
CENS-D1,F,5-9,2020/11,0
CENS-D1,F,5-9,2020/12,0
CENS-D1,F,10-14,1999/01,0
CENS-D1,F,10-14,1999/02,0
CENS-D1,F,10-14,1999/03,0
CENS-D1,F,10-14,1999/04,0
CENS-D1,F,10-14,1999/05,0
CENS-D1,F,10-14,1999/06,0
CENS-D1,F,10-14,1999/07,0
CENS-D1,F,10-14,1999/08,0
CENS-D1,F,10-14,1999/09,0
CENS-D1,F,10-14,1999/10,0
CENS-D1,F,10-14,1999/11,0
CENS-D1,F,10-14,1999/12,0
CENS-D1,F,10-14,2000/01,0
CENS-D1,F,10-14,2000/02,0
CENS-D1,F,10-14,2000/03,0
CENS-D1,F,10-14,2000/04,0
CENS-D1,F,10-14,2000/05,0
CENS-D1,F,10-14,2000/06,0
CENS-D1,F,10-14,2000/07,0
CENS-D1,F,10-14,2000/08,0
CENS-D1,F,10-14,2000/09,0
CENS-D1,F,10-14,2000/10,Suppressed
CENS-D1,F,10-14,2000/11,0
CENS-D1,F,10-14,2000/12,0
CENS-D1,F,10-14,2001/01,0
CENS-D1,F,10-14,2001/02,0
CENS-D1,F,10-14,2001/03,0
CENS-D1,F,10-14,2001/04,0
CENS-D1,F,10-14,2001/05,0
CENS-D1,F,10-14,2001/06,0
CENS-D1,F,10-14,2001/07,0
CENS-D1,F,10-14,2001/08,0
CENS-D1,F,10-14,2001/09,0
CENS-D1,F,10-14,2001/10,0
CENS-D1,F,10-14,2001/11,0
CENS-D1,F,10-14,2001/12,0
CENS-D1,F,10-14,2002/01,0
CENS-D1,F,10-14,2002/02,0
CENS-D1,F,10-14,2002/03,0
CENS-D1,F,10-14,2002/04,0
CENS-D1,F,10-14,2002/05,0
CENS-D1,F,10-14,2002/06,0
CENS-D1,F,10-14,2002/07,0
CENS-D1,F,10-14,2002/08,0
CENS-D1,F,10-14,2002/09,0
CENS-D1,F,10-14,2002/10,0
CENS-D1,F,10-14,2002/11,Suppressed
CENS-D1,F,10-14,2002/12,0
CENS-D1,F,10-14,2003/01,0
CENS-D1,F,10-14,2003/02,Suppressed
CENS-D1,F,10-14,2003/03,0
CENS-D1,F,10-14,2003/04,0
CENS-D1,F,10-14,2003/05,0
CENS-D1,F,10-14,2003/06,0
CENS-D1,F,10-14,2003/07,0
