Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,2010,2010,"Jan., 2010",2010/01,522,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Feb., 2010",2010/02,480,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Mar., 2010",2010/03,568,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Apr., 2010",2010/04,543,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"May, 2010",2010/05,572,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Jun., 2010",2010/06,503,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Jul., 2010",2010/07,491,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Aug., 2010",2010/08,509,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Sep., 2010",2010/09,498,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Oct., 2010",2010/10,526,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Nov., 2010",2010/11,520,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2010,2010,"Dec., 2010",2010/12,578,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Jan., 2011",2011/01,612,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Feb., 2011",2011/02,584,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Mar., 2011",2011/03,640,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Apr., 2011",2011/04,653,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"May, 2011",2011/05,644,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Jun., 2011",2011/06,606,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Jul., 2011",2011/07,682,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Aug., 2011",2011/08,610,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Sep., 2011",2011/09,606,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Oct., 2011",2011/10,647,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Nov., 2011",2011/11,642,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2011,2011,"Dec., 2011",2011/12,624,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Jan., 2012",2012/01,653,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Feb., 2012",2012/02,611,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Mar., 2012",2012/03,654,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Apr., 2012",2012/04,605,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"May, 2012",2012/05,643,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Jun., 2012",2012/06,701,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Jul., 2012",2012/07,670,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Aug., 2012",2012/08,673,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Sep., 2012",2012/09,629,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Oct., 2012",2012/10,717,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Nov., 2012",2012/11,680,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2012,2012,"Dec., 2012",2012/12,725,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Jan., 2013",2013/01,715,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Feb., 2013",2013/02,697,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Mar., 2013",2013/03,791,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Apr., 2013",2013/04,694,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"May, 2013",2013/05,733,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Jun., 2013",2013/06,743,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Jul., 2013",2013/07,733,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Aug., 2013",2013/08,696,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Sep., 2013",2013/09,695,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Oct., 2013",2013/10,744,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Nov., 2013",2013/11,749,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2013,2013,"Dec., 2013",2013/12,821,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Jan., 2014",2014/01,866,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Feb., 2014",2014/02,776,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Mar., 2014",2014/03,860,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Apr., 2014",2014/04,750,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"May, 2014",2014/05,850,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Jun., 2014",2014/06,731,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Jul., 2014",2014/07,712,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Aug., 2014",2014/08,760,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Sep., 2014",2014/09,724,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Oct., 2014",2014/10,850,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Nov., 2014",2014/11,751,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2014,2014,"Dec., 2014",2014/12,846,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Jan., 2015",2015/01,907,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Feb., 2015",2015/02,861,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Mar., 2015",2015/03,977,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Apr., 2015",2015/04,967,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"May, 2015",2015/05,972,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Jun., 2015",2015/06,944,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Jul., 2015",2015/07,975,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Aug., 2015",2015/08,995,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Sep., 2015",2015/09,1021,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Oct., 2015",2015/10,1065,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Nov., 2015",2015/11,956,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2015,2015,"Dec., 2015",2015/12,889,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Jan., 2016",2016/01,1054,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Feb., 2016",2016/02,1245,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Mar., 2016",2016/03,1310,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Apr., 2016",2016/04,1342,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"May, 2016",2016/05,1157,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Jun., 2016",2016/06,1174,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Jul., 2016",2016/07,1346,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Aug., 2016",2016/08,1223,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Sep., 2016",2016/09,1254,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Oct., 2016",2016/10,1363,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Nov., 2016",2016/11,1383,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2016,2016,"Dec., 2016",2016/12,1480,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Jan., 2017",2017/01,1536,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Feb., 2017",2017/02,1347,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Mar., 2017",2017/03,1585,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Apr., 2017",2017/04,1462,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"May, 2017",2017/05,1491,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Jun., 2017",2017/06,1413,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Jul., 2017",2017/07,1440,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Aug., 2017",2017/08,1475,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Sep., 2017",2017/09,1432,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Oct., 2017",2017/10,1263,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Nov., 2017",2017/11,1269,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2017,2017,"Dec., 2017",2017/12,1425,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Jan., 2018",2018/01,1358,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Feb., 2018",2018/02,1165,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Mar., 2018",2018/03,1388,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Apr., 2018",2018/04,1356,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"May, 2018",2018/05,1432,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Jun., 2018",2018/06,1435,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Jul., 2018",2018/07,1439,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Aug., 2018",2018/08,1381,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Sep., 2018",2018/09,1289,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Oct., 2018",2018/10,1369,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Nov., 2018",2018/11,1222,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2018,2018,"Dec., 2018",2018/12,1279,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"Jan., 2019",2019/01,1201,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"Feb., 2019",2019/02,1216,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"Mar., 2019",2019/03,1327,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"Apr., 2019",2019/04,1228,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"May, 2019",2019/05,1321,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"Jun., 2019",2019/06,1333,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2019,2019,"Jul., 2019",2019/07,1443,Not Applicable,Not Applicable
