Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,95-99 years,95-99,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,100+ years,100+,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,Not Stated,NS,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,1-4 years,1-4,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,10-14 years,10-14,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,20-24 years,20-24,17,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,25-29 years,25-29,37,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,30-34 years,30-34,45,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,35-39 years,35-39,63,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,40-44 years,40-44,60,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,45-49 years,45-49,56,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,50-54 years,50-54,31,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,55-59 years,55-59,13,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,60-64 years,60-64,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,90-94 years,90-94,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,95-99 years,95-99,Suppressed,Not Applicable,Not Applicable
