Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,2000,2000,"Jan., 2000",2000/01,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,25-34 years,25-34,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,35-44 years,35-44,40,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,45-54 years,45-54,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,65-74 years,65-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,85+ years,85+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Feb., 2000",2000/02,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2000,2000,"Mar., 2000",2000/03,1-4 years,1-4,0,Not Applicable,Not Applicable
