Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,15-19 years,15-19,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,25-29 years,25-29,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,30-34 years,30-34,15,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,35-39 years,35-39,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,40-44 years,40-44,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,45-49 years,45-49,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,65-69 years,65-69,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,70-74 years,70-74,0,Not Applicable,Not Applicable
