"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","20-24 years","20-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","25-29 years","25-29",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","30-34 years","30-34",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","35-39 years","35-39",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","40-44 years","40-44",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","45-49 years","45-49",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","50-54 years","50-54",15,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","55-59 years","55-59",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","60-64 years ","60-64",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","80-84 years","80-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
