"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","15-24 years","15-24",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","25-34 years","25-34",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","35-44 years","35-44",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","45-54 years","45-54",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","55-64 years","55-64",18,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Sep., 2011","2011/09","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","15-24 years","15-24",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","25-34 years","25-34",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","35-44 years","35-44",35,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","45-54 years","45-54",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","55-64 years","55-64",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Oct., 2011","2011/10","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","15-24 years","15-24",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","25-34 years","25-34",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","35-44 years","35-44",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","45-54 years","45-54",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","55-64 years","55-64",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Nov., 2011","2011/11","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","25-34 years","25-34",29,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","35-44 years","35-44",41,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","45-54 years","45-54",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","55-64 years","55-64",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Dec., 2011","2011/12","Not Stated","NS",0,Not Applicable,Not Applicable
