"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"21 years","21","Census Region 2: Midwest","CENS-R2",803,922290,87.1,81.0,93.1,3.1
,"21 years","21","Census Region 3: South","CENS-R3",1597,1618848,98.7,93.8,103.5,2.5
,"21 years","21","Census Region 4: West","CENS-R4",842,1016308,82.8,77.3,88.4,2.9
,"22 years","22","Census Region 1: Northeast","CENS-R1",581,724129,80.2,73.7,86.8,3.3
,"22 years","22","Census Region 2: Midwest","CENS-R2",875,927960,94.3,88.0,100.5,3.2
,"22 years","22","Census Region 3: South","CENS-R3",1613,1632446,98.8,94.0,103.6,2.5
,"22 years","22","Census Region 4: West","CENS-R4",891,1050208,84.8,79.3,90.4,2.8
,"23 years","23","Census Region 1: Northeast","CENS-R1",607,733617,82.7,76.2,89.3,3.4
,"23 years","23","Census Region 2: Midwest","CENS-R2",947,932887,101.5,95.0,108.0,3.3
,"23 years","23","Census Region 3: South","CENS-R3",1783,1675996,106.4,101.4,111.3,2.5
,"23 years","23","Census Region 4: West","CENS-R4",915,1096224,83.5,78.1,88.9,2.8
,"24 years","24","Census Region 1: Northeast","CENS-R1",722,758479,95.2,88.2,102.1,3.5
,"24 years","24","Census Region 2: Midwest","CENS-R2",1000,933855,107.1,100.4,113.7,3.4
,"24 years","24","Census Region 3: South","CENS-R3",1902,1713249,111.0,106.0,116.0,2.5
,"24 years","24","Census Region 4: West","CENS-R4",944,1128193,83.7,78.3,89.0,2.7
,"25 years","25","Census Region 1: Northeast","CENS-R1",770,775890,99.2,92.2,106.3,3.6
,"25 years","25","Census Region 2: Midwest","CENS-R2",1059,939126,112.8,106.0,119.6,3.5
,"25 years","25","Census Region 3: South","CENS-R3",2041,1739941,117.3,112.2,122.4,2.6
,"25 years","25","Census Region 4: West","CENS-R4",974,1151324,84.6,79.3,89.9,2.7
,"26 years","26","Census Region 1: Northeast","CENS-R1",872,783359,111.3,103.9,118.7,3.8
,"26 years","26","Census Region 2: Midwest","CENS-R2",1182,959015,123.3,116.2,130.3,3.6
,"26 years","26","Census Region 3: South","CENS-R3",2097,1788226,117.3,112.2,122.3,2.6
,"26 years","26","Census Region 4: West","CENS-R4",1079,1198114,90.1,84.7,95.4,2.7
,"27 years","27","Census Region 1: Northeast","CENS-R1",927,796994,116.3,108.8,123.8,3.8
,"27 years","27","Census Region 2: Midwest","CENS-R2",1241,951511,130.4,123.2,137.7,3.7
,"27 years","27","Census Region 3: South","CENS-R3",2249,1826302,123.1,118.1,128.2,2.6
,"27 years","27","Census Region 4: West","CENS-R4",1282,1239173,103.5,97.8,109.1,2.9
,"28 years","28","Census Region 1: Northeast","CENS-R1",987,808515,122.1,114.5,129.7,3.9
,"28 years","28","Census Region 2: Midwest","CENS-R2",1289,939508,137.2,129.7,144.7,3.8
,"28 years","28","Census Region 3: South","CENS-R3",2371,1817857,130.4,125.2,135.7,2.7
,"28 years","28","Census Region 4: West","CENS-R4",1182,1235831,95.6,90.2,101.1,2.8
,"29 years","29","Census Region 1: Northeast","CENS-R1",978,785790,124.5,116.7,132.3,4.0
,"29 years","29","Census Region 2: Midwest","CENS-R2",1265,900059,140.5,132.8,148.3,4.0
,"29 years","29","Census Region 3: South","CENS-R3",2445,1744406,140.2,134.6,145.7,2.8
,"29 years","29","Census Region 4: West","CENS-R4",1171,1180815,99.2,93.5,104.8,2.9
,"30 years","30","Census Region 1: Northeast","CENS-R1",1038,776499,133.7,125.5,141.8,4.1
,"30 years","30","Census Region 2: Midwest","CENS-R2",1331,879026,151.4,143.3,159.6,4.2
,"30 years","30","Census Region 3: South","CENS-R3",2518,1695277,148.5,142.7,154.3,3.0
,"30 years","30","Census Region 4: West","CENS-R4",1213,1150480,105.4,99.5,111.4,3.0
,"31 years","31","Census Region 1: Northeast","CENS-R1",983,763050,128.8,120.8,136.9,4.1
,"31 years","31","Census Region 2: Midwest","CENS-R2",1269,867827,146.2,138.2,154.3,4.1
,"31 years","31","Census Region 3: South","CENS-R3",2408,1666384,144.5,138.7,150.3,2.9
,"31 years","31","Census Region 4: West","CENS-R4",1299,1124288,115.5,109.3,121.8,3.2
,"32 years","32","Census Region 1: Northeast","CENS-R1",1052,758740,138.7,130.3,147.0,4.3
,"32 years","32","Census Region 2: Midwest","CENS-R2",1316,880833,149.4,141.3,157.5,4.1
