Census Division Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Division,Age Groups
CENS-D1,2008/01,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/02,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/03,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/04,F,1,Suppressed,2008,Division 1: New England,< 1 year
CENS-D1,2008/05,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/06,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/07,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/08,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/09,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/10,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/11,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2008/12,F,1,0,2008,Division 1: New England,< 1 year
CENS-D1,2009/01,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/02,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/03,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/04,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/05,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/06,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/07,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/08,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/09,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/10,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/11,F,1,0,2009,Division 1: New England,< 1 year
CENS-D1,2009/12,F,1,Suppressed,2009,Division 1: New England,< 1 year
CENS-D1,2010/01,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/02,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/03,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/04,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/05,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/06,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/07,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/08,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/09,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/10,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2010/11,F,1,Suppressed,2010,Division 1: New England,< 1 year
CENS-D1,2010/12,F,1,0,2010,Division 1: New England,< 1 year
CENS-D1,2011/01,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/02,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/03,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/04,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/05,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/06,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/07,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/08,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/09,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/10,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/11,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2011/12,F,1,0,2011,Division 1: New England,< 1 year
CENS-D1,2012/01,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/02,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/03,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/04,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/05,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/06,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/07,F,1,Suppressed,2012,Division 1: New England,< 1 year
CENS-D1,2012/08,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/09,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/10,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/11,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2012/12,F,1,0,2012,Division 1: New England,< 1 year
CENS-D1,2013/01,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/02,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/03,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/04,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/05,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/06,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/07,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/08,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/09,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/10,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/11,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2013/12,F,1,0,2013,Division 1: New England,< 1 year
CENS-D1,2014/01,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/02,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/03,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/04,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/05,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/06,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/07,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/08,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/09,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/10,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/11,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2014/12,F,1,0,2014,Division 1: New England,< 1 year
CENS-D1,2015/01,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/02,F,1,Suppressed,2015,Division 1: New England,< 1 year
CENS-D1,2015/03,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/04,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/05,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/06,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/07,F,1,Suppressed,2015,Division 1: New England,< 1 year
CENS-D1,2015/08,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/09,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/10,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/11,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2015/12,F,1,0,2015,Division 1: New England,< 1 year
CENS-D1,2016/01,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/02,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/03,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/04,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/05,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/06,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/07,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/08,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/09,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/10,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/11,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2016/12,F,1,0,2016,Division 1: New England,< 1 year
CENS-D1,2017/01,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/02,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/03,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/04,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/05,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/06,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/07,F,1,Suppressed,2017,Division 1: New England,< 1 year
CENS-D1,2017/08,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/09,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/10,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/11,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2017/12,F,1,0,2017,Division 1: New England,< 1 year
CENS-D1,2018/01,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/02,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/03,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/04,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/05,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/06,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/07,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/08,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/09,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/10,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/11,F,1,0,2018,Division 1: New England,< 1 year
CENS-D1,2018/12,F,1,Suppressed,2018,Division 1: New England,< 1 year
CENS-D1,2019/01,F,1,Suppressed,2019,Division 1: New England,< 1 year
CENS-D1,2019/02,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/03,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/04,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/05,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/06,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/07,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/08,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/09,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/10,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/11,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2019/12,F,1,0,2019,Division 1: New England,< 1 year
CENS-D1,2020/01,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/02,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/03,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/04,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/05,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/06,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/07,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/08,F,1,Suppressed,2020,Division 1: New England,< 1 year
CENS-D1,2020/09,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/10,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/11,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,2020/12,F,1,0,2020,Division 1: New England,< 1 year
CENS-D1,1999/01,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/02,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/03,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/04,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/05,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/06,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/07,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/08,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/09,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/10,F,1-4,0,1999,Division 1: New England,1-4 years
CENS-D1,1999/11,F,1-4,0,1999,Division 1: New England,1-4 years
