"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"15-19 years","15-19","2020","2020",1262,20960929,6.0,5.7,6.4,0.2
,"20-24 years","20-24","1999","1999",464,18591429,2.5,2.3,2.7,0.1
,"20-24 years","20-24","2000","2000",539,18964001,2.8,2.6,3.1,0.1
,"20-24 years","20-24","2001","2001",681,19757286,3.4,3.2,3.7,0.1
,"20-24 years","20-24","2002","2002",863,20243765,4.3,4.0,4.5,0.1
,"20-24 years","20-24","2003","2003",1026,20591688,5.0,4.7,5.3,0.2
,"20-24 years","20-24","2004","2004",1142,20845560,5.5,5.2,5.8,0.2
,"20-24 years","20-24","2005","2005",1248,20959955,6.0,5.6,6.3,0.2
,"20-24 years","20-24","2006","2006",1561,21036135,7.4,7.1,7.8,0.2
,"20-24 years","20-24","2007","2007",1589,21077999,7.5,7.2,7.9,0.2
,"20-24 years","20-24","2008","2008",1695,21180612,8.0,7.6,8.4,0.2
,"20-24 years","20-24","2009","2009",1678,21384122,7.8,7.5,8.2,0.2
,"20-24 years","20-24","2010","2010",1837,21585999,8.5,8.1,8.9,0.2
,"20-24 years","20-24","2011","2011",1989,22153832,9.0,8.6,9.4,0.2
,"20-24 years","20-24","2012","2012",1920,22583203,8.5,8.1,8.9,0.2
,"20-24 years","20-24","2013","2013",2064,22795438,9.1,8.7,9.4,0.2
,"20-24 years","20-24","2014","2014",2290,22912174,10.0,9.6,10.4,0.2
,"20-24 years","20-24","2015","2015",2576,22739313,11.3,10.9,11.8,0.2
,"20-24 years","20-24","2016","2016",3441,22381028,15.4,14.9,15.9,0.3
,"20-24 years","20-24","2017","2017",3587,22118635,16.2,15.7,16.7,0.3
,"20-24 years","20-24","2018","2018",3106,21873579,14.2,13.7,14.7,0.3
,"20-24 years","20-24","2019","2019",3164,21632940,14.6,14.1,15.1,0.3
,"20-24 years","20-24","2020","2020",4724,21594755,21.9,21.3,22.5,0.3
,"25-29 years","25-29","1999","1999",707,19575057,3.6,3.3,3.9,0.1
,"25-29 years","25-29","2000","2000",694,19381336,3.6,3.3,3.8,0.1
,"25-29 years","25-29","2001","2001",736,18819347,3.9,3.6,4.2,0.1
,"25-29 years","25-29","2002","2002",926,18691340,5.0,4.6,5.3,0.2
,"25-29 years","25-29","2003","2003",1055,18771585,5.6,5.3,6.0,0.2
,"25-29 years","25-29","2004","2004",1249,19107055,6.5,6.2,6.9,0.2
,"25-29 years","25-29","2005","2005",1420,19534710,7.3,6.9,7.6,0.2
,"25-29 years","25-29","2006","2006",1799,20110011,8.9,8.5,9.4,0.2
,"25-29 years","25-29","2007","2007",1993,20542698,9.7,9.3,10.1,0.2
,"25-29 years","25-29","2008","2008",2087,20902668,10.0,9.6,10.4,0.2
,"25-29 years","25-29","2009","2009",2288,21078228,10.9,10.4,11.3,0.2
,"25-29 years","25-29","2010","2010",2352,21101849,11.1,10.7,11.6,0.2
,"25-29 years","25-29","2011","2011",2569,21279794,12.1,11.6,12.5,0.2
,"25-29 years","25-29","2012","2012",2575,21398326,12.0,11.6,12.5,0.2
,"25-29 years","25-29","2013","2013",2820,21580198,13.1,12.6,13.5,0.2
,"25-29 years","25-29","2014","2014",3378,21987938,15.4,14.8,15.9,0.3
,"25-29 years","25-29","2015","2015",4081,22461554,18.2,17.6,18.7,0.3
,"25-29 years","25-29","2016","2016",5614,22890884,24.5,23.9,25.2,0.3
,"25-29 years","25-29","2017","2017",6373,23370460,27.3,26.6,27.9,0.3
,"25-29 years","25-29","2018","2018",6145,23561756,26.1,25.4,26.7,0.3
,"25-29 years","25-29","2019","2019",6167,23509016,26.2,25.6,26.9,0.3
,"25-29 years","25-29","2020","2020",8248,23231243,35.5,34.7,36.3,0.4
,"30-34 years","30-34","1999","1999",957,20603349,4.6,4.4,4.9,0.2
,"30-34 years","30-34","2000","2000",946,20510388,4.6,4.3,4.9,0.1
,"30-34 years","30-34","2001","2001",1019,20652175,4.9,4.6,5.2,0.2
,"30-34 years","30-34","2002","2002",1283,20658306,6.2,5.9,6.6,0.2
,"30-34 years","30-34","2003","2003",1360,20472210,6.6,6.3,7.0,0.2
,"30-34 years","30-34","2004","2004",1324,20159501,6.6,6.2,6.9,0.2
,"30-34 years","30-34","2005","2005",1490,19723937,7.6,7.2,7.9,0.2
,"30-34 years","30-34","2006","2006",1731,19285168,9.0,8.6,9.4,0.2
,"30-34 years","30-34","2007","2007",1825,19170765,9.5,9.1,10.0,0.2
,"30-34 years","30-34","2008","2008",1939,19304805,10.0,9.6,10.5,0.2
,"30-34 years","30-34","2009","2009",2072,19645114,10.5,10.1,11.0,0.2
,"30-34 years","30-34","2010","2010",2323,19962099,11.6,11.2,12.1,0.2
,"30-34 years","30-34","2011","2011",2715,20510704,13.2,12.7,13.7,0.3
,"30-34 years","30-34","2012","2012",2844,20910995,13.6,13.1,14.1,0.3
,"30-34 years","30-34","2013","2013",3091,21264389,14.5,14.0,15.0,0.3
,"30-34 years","30-34","2014","2014",3650,21528566,17.0,16.4,17.5,0.3
,"30-34 years","30-34","2015","2015",4487,21675648,20.7,20.1,21.3,0.3
,"30-34 years","30-34","2016","2016",5938,21786359,27.3,26.6,27.9,0.4
,"30-34 years","30-34","2017","2017",6808,21972212,31.0,30.2,31.7,0.4
,"30-34 years","30-34","2018","2018",6694,22136018,30.2,29.5,31.0,0.4
,"30-34 years","30-34","2019","2019",7142,22431305,31.8,31.1,32.6,0.4
,"30-34 years","30-34","2020","2020",9991,22838403,43.7,42.9,44.6,0.4
,"35-39 years","35-39","1999","1999",1481,22882549,6.5,6.1,6.8,0.2
,"35-39 years","35-39","2000","2000",1463,22706664,6.4,6.1,6.8,0.2
,"35-39 years","35-39","2001","2001",1563,22235918,7.0,6.7,7.4,0.2
,"35-39 years","35-39","2002","2002",1855,21751218,8.5,8.1,8.9,0.2
,"35-39 years","35-39","2003","2003",1825,21264159,8.6,8.2,9.0,0.2
,"35-39 years","35-39","2004","2004",1726,20874649,8.3,7.9,8.7,0.2
,"35-39 years","35-39","2005","2005",1754,20798653,8.4,8.0,8.8,0.2
,"35-39 years","35-39","2006","2006",1995,20941233,9.5,9.1,9.9,0.2
,"35-39 years","35-39","2007","2007",2075,20963891,9.9,9.5,10.3,0.2
,"35-39 years","35-39","2008","2008",2159,20817463,10.4,9.9,10.8,0.2
,"35-39 years","35-39","2009","2009",2108,20507796,10.3,9.8,10.7,0.2
,"35-39 years","35-39","2010","2010",2250,20179642,11.1,10.7,11.6,0.2
,"35-39 years","35-39","2011","2011",2372,19594309,12.1,11.6,12.6,0.2
,"35-39 years","35-39","2012","2012",2461,19488199,12.6,12.1,13.1,0.3
,"35-39 years","35-39","2013","2013",2606,19603770,13.3,12.8,13.8,0.3
,"35-39 years","35-39","2014","2014",3206,19921650,16.1,15.5,16.7,0.3
,"35-39 years","35-39","2015","2015",3990,20374585,19.6,19.0,20.2,0.3
,"35-39 years","35-39","2016","2016",5406,20773905,26.0,25.3,26.7,0.4
,"35-39 years","35-39","2017","2017",6308,21231997,29.7,29.0,30.4,0.4
,"35-39 years","35-39","2018","2018",6451,21563587,29.9,29.2,30.6,0.4
,"35-39 years","35-39","2019","2019",6966,21737521,32.0,31.3,32.8,0.4
,"35-39 years","35-39","2020","2020",9804,21828304,44.9,44.0,45.8,0.5
,"40-44 years","40-44","1999","1999",1757,22194128,7.9,7.5,8.3,0.2
,"40-44 years","40-44","2000","2000",1814,22441863,8.1,7.7,8.5,0.2
,"40-44 years","40-44","2001","2001",1941,22815834,8.5,8.1,8.9,0.2
,"40-44 years","40-44","2002","2002",2373,22889431,10.4,10.0,10.8,0.2
,"40-44 years","40-44","2003","2003",2405,22890047,10.5,10.1,10.9,0.2
,"40-44 years","40-44","2004","2004",2503,22925626,10.9,10.5,11.3,0.2
,"40-44 years","40-44","2005","2005",2422,22706885,10.7,10.2,11.1,0.2
,"40-44 years","40-44","2006","2006",2663,22302568,11.9,11.5,12.4,0.2
