"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"15-24 years","15-24","Female","F","2001","2001",203,19585847,1.0,0.9,1.2,0.1
,"15-24 years","15-24","Female","F","2002","2002",269,19898124,1.4,1.2,1.5,0.1
,"15-24 years","15-24","Female","F","2003","2003",306,20180290,1.5,1.3,1.7,0.1
,"15-24 years","15-24","Female","F","2004","2004",333,20433434,1.6,1.5,1.8,0.1
,"15-24 years","15-24","Female","F","2005","2005",371,20657595,1.8,1.6,2.0,0.1
,"15-24 years","15-24","Female","F","2006","2006",444,20836077,2.1,1.9,2.3,0.1
,"15-24 years","15-24","Female","F","2007","2007",491,21001489,2.3,2.1,2.5,0.1
,"15-24 years","15-24","Female","F","2008","2008",482,21144714,2.3,2.1,2.5,0.1
,"15-24 years","15-24","Female","F","2009","2009",521,21263984,2.5,2.2,2.7,0.1
,"15-24 years","15-24","Female","F","2010","2010",603,21308500,2.8,2.6,3.1,0.1
,"15-24 years","15-24","Female","F","2011","2011",624,21366229,2.9,2.7,3.1,0.1
,"15-24 years","15-24","Female","F","2012","2012",575,21431588,2.7,2.5,2.9,0.1
,"15-24 years","15-24","Female","F","2013","2013",640,21429247,3.0,2.8,3.2,0.1
,"15-24 years","15-24","Female","F","2014","2014",711,21456371,3.3,3.1,3.6,0.1
,"15-24 years","15-24","Female","F","2015","2015",871,21382495,4.1,3.8,4.3,0.1
,"15-24 years","15-24","Female","F","2016","2016",1041,21218116,4.9,4.6,5.2,0.2
,"15-24 years","15-24","Female","F","2017","2017",1209,21100662,5.7,5.4,6.1,0.2
,"15-24 years","15-24","Female","F","2018","2018",1091,20994345,5.2,4.9,5.5,0.2
,"15-24 years","15-24","Female","F","2019","2019",1058,20877151,5.1,4.8,5.4,0.2
,"15-24 years","15-24","Female","F","2020","2020",1584,20828241,7.6,7.2,8.0,0.2
"Total","15-24 years","15-24","Female","F",,,13708,456359756,3.0,3.0,3.1,0.0
,"15-24 years","15-24","Male","M","1999","1999",480,19815847,2.4,2.2,2.6,0.1
,"15-24 years","15-24","Male","M","2000","2000",588,20078818,2.9,2.7,3.2,0.1
,"15-24 years","15-24","Male","M","2001","2001",741,20627723,3.6,3.3,3.9,0.1
,"15-24 years","15-24","Male","M","2002","2002",910,20956011,4.3,4.1,4.6,0.1
,"15-24 years","15-24","Male","M","2003","2003",1093,21208564,5.2,4.8,5.5,0.2
,"15-24 years","15-24","Male","M","2004","2004",1263,21514678,5.9,5.5,6.2,0.2
,"15-24 years","15-24","Male","M","2005","2005",1314,21788574,6.0,5.7,6.4,0.2
,"15-24 years","15-24","Male","M","2006","2006",1652,22007767,7.5,7.1,7.9,0.2
,"15-24 years","15-24","Male","M","2007","2007",1685,22144326,7.6,7.2,8.0,0.2
,"15-24 years","15-24","Male","M","2008","2008",1812,22246778,8.1,7.8,8.5,0.2
,"15-24 years","15-24","Male","M","2009","2009",1708,22312948,7.7,7.3,8.0,0.2
,"15-24 years","15-24","Male","M","2010","2010",1784,22317842,8.0,7.6,8.4,0.2
,"15-24 years","15-24","Male","M","2011","2011",1921,22431646,8.6,8.2,8.9,0.2
,"15-24 years","15-24","Male","M","2012","2012",1769,22512317,7.9,7.5,8.2,0.2
,"15-24 years","15-24","Male","M","2013","2013",1846,22525155,8.2,7.8,8.6,0.2
,"15-24 years","15-24","Male","M","2014","2014",1995,22523450,8.9,8.5,9.2,0.2
,"15-24 years","15-24","Male","M","2015","2015",2211,22465721,9.8,9.4,10.3,0.2
,"15-24 years","15-24","Male","M","2016","2016",2986,22292911,13.4,12.9,13.9,0.2
,"15-24 years","15-24","Male","M","2017","2017",2885,22149633,13.0,12.5,13.5,0.2
,"15-24 years","15-24","Male","M","2018","2018",2527,21976455,11.5,11.1,11.9,0.2
,"15-24 years","15-24","Male","M","2019","2019",2667,21810359,12.2,11.8,12.7,0.2
,"15-24 years","15-24","Male","M","2020","2020",4402,21727443,20.3,19.7,20.9,0.3
"Total","15-24 years","15-24","Male","M",,,40239,479434966,8.4,8.3,8.5,0.0
"Total","15-24 years","15-24",,,,,53947,935794722,5.8,5.7,5.8,0.0
,"25-34 years","25-34","Female","F","1999","1999",390,19945090,2.0,1.8,2.1,0.1
,"25-34 years","25-34","Female","F","2000","2000",393,19771195,2.0,1.8,2.2,0.1
,"25-34 years","25-34","Female","F","2001","2001",443,19567043,2.3,2.1,2.5,0.1
,"25-34 years","25-34","Female","F","2002","2002",591,19518779,3.0,2.8,3.3,0.1
,"25-34 years","25-34","Female","F","2003","2003",649,19500922,3.3,3.1,3.6,0.1
,"25-34 years","25-34","Female","F","2004","2004",709,19520225,3.6,3.4,3.9,0.1
,"25-34 years","25-34","Female","F","2005","2005",843,19547698,4.3,4.0,4.6,0.1
,"25-34 years","25-34","Female","F","2006","2006",949,19626340,4.8,4.5,5.1,0.2
,"25-34 years","25-34","Female","F","2007","2007",1050,19788593,5.3,5.0,5.6,0.2
