Year,Census_Division,rate_health_care_coverage,rate_alochol_consum,socio_score
2011,West North Central,85.53454330617681,57.86239965641957,114.248644192982
2011,Middle Atlantic,85.79409457360404,59.47949007737971,124.16601830596603
2011,New England,90.07709179997316,64.05669692141998,130.68782279565605
2011,East South Central,80.54434840689383,40.54145630280663,98.91119651692284
2011,South Atlantic,79.49758015915238,53.069816423290895,115.4065589494856
2011,West South Central,72.39143710876503,51.85508149595537,103.43470531714314
2011,Mountain,79.73829013988467,53.84523840886557,116.6188131623238
2011,Pacific,81.85991062499909,57.29120337248802,121.42318328877744
2012,East North Central,84.81265100783727,56.56846750524473,110.64836606635828
2012,West North Central,86.04101748478182,55.7439353178058,114.248644192982
2012,Middle Atlantic,85.3605116106372,56.830096244768,124.16601830596603
2012,New England,90.81317826923014,62.88875064563779,130.68782279565605
2012,East South Central,81.19124068222747,39.47806034749154,98.91119651692284
2012,South Atlantic,80.12624682008602,51.142716390376734,115.4065589494856
2012,West South Central,72.23150102581852,47.91635197971744,103.43470531714314
2012,Mountain,79.934247341295,51.36125504844208,116.6188131623238
2012,Pacific,79.62103811421191,56.038788277736245,121.42318328877744
2013,East North Central,85.312203985642,55.79087076567971,110.64836606635828
2013,West North Central,86.80628122599128,55.73423558389987,114.248644192982
2013,Middle Atlantic,86.00905944214863,55.77728692670619,124.16601830596603
2013,New England,90.99613427352682,62.8081678477812,130.68782279565605
2013,East South Central,81.64481993094164,38.530961826638624,98.91119651692284
2013,South Atlantic,80.23569368675784,50.470577414883806,115.4065589494856
2013,West South Central,74.16198083376324,47.780114415524245,103.43470531714314
2013,Mountain,80.71719931982136,51.51137707059002,116.6188131623238
2013,Pacific,82.82407069790699,56.183403572577234,121.42318328877744
2014,East North Central,88.88493571197768,55.554570254485405,110.64836606635828
2014,West North Central,89.42342019763944,54.68144406910808,114.248644192982
2014,Middle Atlantic,88.35969181302477,54.91727250270659,124.16601830596603
2014,New England,92.86821056603794,61.63656007118428,130.68782279565605
2014,East South Central,86.1319515725039,39.35096594131981,98.91119651692284
2014,South Atlantic,84.01558825373355,50.536141501288355,115.4065589494856
2014,West South Central,77.62178441602515,46.908646253925966,103.43470531714314
2014,Mountain,85.51498888972893,50.75496137948621,116.6188131623238
2014,Pacific,86.22992075716867,54.79053099106644,121.42318328877744
2015,East North Central,90.67770872276095,56.198550014956965,111.475449856404
2015,West North Central,90.52998780158444,56.180215225812034,114.18060432248112
2015,Middle Atlantic,90.20897183149155,55.27675261461973,122.51320932073996
2015,New England,93.54700488068268,61.09263504377567,130.43119641447308
2015,East South Central,87.49784481506062,40.2923368556648,100.1570907944848
2015,South Atlantic,85.74618815220491,50.789094614466485,116.76612526731672
2015,West South Central,79.3852444934467,48.20704706998821,104.16307841952104
2015,Mountain,87.29597982773295,49.79820892975247,119.4739984214663
2015,Pacific,89.11643555077474,54.98509397890933,126.26255362293364
2016,East North Central,91.4562000837385,57.043039758696416,111.475449856404
2016,West North Central,90.69539909535426,58.217176618430855,114.18060432248112
2016,Middle Atlantic,91.07808563955362,57.709104838793664,122.51320932073996
2016,New England,93.52333642364358,61.999167757763054,130.43119641447308
2016,East South Central,88.79096386156169,42.68365879606488,100.1570907944848
2016,South Atlantic,86.10984602528497,51.39147816593316,116.76612526731672
2016,West South Central,80.79996623030306,48.92734505892536,104.16307841952104
2016,Mountain,87.90424254121496,51.768611275012894,119.4739984214663
2016,Pacific,89.71899458087563,54.83710346711026,126.26255362293364
2017,East North Central,91.02945262145064,57.20989143031083,111.475449856404
2017,West North Central,89.6722512492991,57.60790986002913,114.18060432248112
2017,Middle Atlantic,90.83150982612932,56.657765803132115,122.51320932073996
2017,New England,93.34165391928444,62.322670540645355,130.43119641447308
2017,East South Central,86.92871263094534,43.90827477284952,100.1570907944848
2017,South Atlantic,85.76482241805401,51.73826214609207,116.76612526731672
2017,West South Central,79.35167674248557,49.81887817620385,104.16307841952104
2017,Mountain,87.28922152130657,51.87357541570271,119.4739984214663
2017,Pacific,89.81004519587715,57.2222197494623,126.26255362293364
2018,East North Central,90.743436285675,55.30628725348361,111.475449856404
2018,West North Central,89.67127491441431,56.93559874570035,114.18060432248112
2018,Middle Atlantic,90.30759322457284,55.79597855977847,122.51320932073996
2018,New England,92.78535928345208,62.032386618889255,130.43119641447308
2018,East South Central,88.21193232882156,42.443874473633855,100.1570907944848
2018,South Atlantic,85.72958331325043,50.86028031834125,116.76612526731672
2018,West South Central,80.28780583903047,50.00394219202569,104.16307841952104
2018,Mountain,87.65366522864855,51.019344273530905,119.4739984214663
2018,Pacific,89.02596048708743,54.44651958087563,126.26255362293364
2019,East North Central,89.58069642914671,55.392025402691814,111.475449856404
2019,West North Central,89.24728315162672,57.175417039393096,114.18060432248112
2019,Middle Atlantic,89.93036705001155,55.17782481774454,122.51320932073996
2019,New England,92.60816562381716,60.663866680794825,130.43119641447308
2019,East South Central,86.69347395083516,42.71466986570475,100.1570907944848
2019,South Atlantic,85.62915004688696,51.175858443141976,116.76612526731672
2019,West South Central,79.16262169231736,50.2220652273726,104.16307841952104
2019,Mountain,86.28443286939714,50.73978833955248,119.4739984214663
2019,Pacific,88.22270145200419,54.68728259615829,126.26255362293364
