Census_Division,Year,rate_health_care_coverage,rate_alochol_consum,socio_score,rate_health_care_coverage_pw,rate_alochol_consum_pw
Middle Atlantic,2013,86.00905944214863,55.77728692670619,124.16601830596603,0.9315341877691736,0.6763691114879293
Middle Atlantic,2014,88.35969181302477,54.91727250270659,124.16601830596603,1.927345010961318,-0.1728779398677318
Middle Atlantic,2015,90.20897183149155,55.27675261461973,122.51320932073996,0.3150940694062996,0.9207852575568864
Middle Atlantic,2016,91.07808563955362,57.709104838793664,122.51320932073996,-0.3378547742486546,2.1977305353480148
Middle Atlantic,2017,90.83150982612932,56.657765803132115,122.51320932073996,-0.8138198491074604,-2.6388610368593675
Middle Atlantic,2018,90.30759322457284,55.79597855977847,122.51320932073996,-0.3629840997239171,-0.1756103676350662
Middle Atlantic,2019,89.93036705001155,55.17782481774454,122.51320932073996,-0.03528181161188115,-0.05569153134806726
Mountain,2005,80.90961781917282,53.77514353709443,117.56792795903227,0.08090950645629204,0.05377506952172938
Mountain,2006,81.28866529764298,51.69793552535108,117.56792795903227,0.22836506467247814,-1.25203463431268
Mountain,2007,81.72525646534622,51.94249892551499,117.56792795903227,0.14450025399751154,1.4331137322225609
Mountain,2008,82.36756817215077,51.74281921388483,117.56792795903227,0.29731729680362423,0.8356226514593634
Mountain,2009,83.2734001180857,50.56967981704399,117.56792795903227,0.4632387344509823,-1.2396092368997458
Mountain,2010,83.62164358483624,49.89237761235725,116.6188131623238,-0.29020574393460663,-0.18967200838738307
Mountain,2011,79.73829013988467,53.84523840886557,116.6188131623238,-4.482364540515533,4.802031197985471
Mountain,2012,79.934247341295,51.36125504844208,116.6188131623238,1.2685745051956587,-3.4025723278656983
Mountain,2013,80.71719931982136,51.51137707059002,116.6188131623238,2.803188975864771,-1.1653395808085136
Mountain,2014,85.51498888972893,50.75496137948621,116.6188131623238,4.438705870437431,0.527790716407992
Mountain,2015,87.29597982773295,49.79820892975247,119.4739984214663,-0.19519917190287117,-0.7919799266817193
Mountain,2016,87.90424254121496,51.768611275012894,119.4739984214663,-2.5438381617021406,2.686594272115528
Mountain,2017,87.28922152130657,51.87357541570271,119.4739984214663,-1.767970575084334,-0.020704619530270918
Mountain,2018,87.65366522864855,51.019344273530905,119.4739984214663,0.23752144859047064,-1.9455838660863378
Mountain,2019,86.28443286939714,50.73978833955248,119.4739984214663,-1.157414184463974,-0.0588275097762434
New England,2005,89.58901952978276,64.57698626639946,130.64201062298477,0.08958893255619786,0.06457692357465411
New England,2006,90.3282379425917,62.75144367970514,130.64201062298477,0.5304203757881538,-1.3101811212855112
New England,2007,91.4530675139257,64.42034265844214,130.64201062298477,0.6100421192360209,2.940196339067116
New England,2008,92.72830092320766,63.73494257776129,130.64201062298477,0.4919085636934568,-1.8476117331283959
New England,2009,91.92769588044676,63.80302621256684,130.64201062298477,-1.6886702562584333,0.5453923098690439
New England,2010,92.23599221819464,64.54988527020349,130.68782279565605,0.8658330859632457,0.6994460058461343
New England,2011,90.07709179997316,64.05669692141998,130.68782279565605,-2.3735962150926895,-1.013296702003423
New England,2012,90.81317826923014,62.88875064563779,130.68782279565605,2.2395323066016317,-0.824492745574311
New England,2013,90.99613427352682,62.8081678477812,130.68782279565605,-0.3296503803191513,0.7327682727840283
New England,2014,92.86821056603794,61.63656007118428,130.68782279565605,1.7446667831352016,-1.115490379529163
New England,2015,93.54700488068268,61.09263504377567,130.43119641447308,-0.6249088508241556,0.27197589134537736
New England,2016,93.52333642364358,61.999167757763054,130.43119641447308,-0.49637691461889233,1.28531897544854
New England,2017,93.34165391928444,62.322670540645355,130.43119641447308,-0.16519992697323005,-0.3078013864799303
New England,2018,92.78535928345208,62.032386618889255,130.43119641447308,-0.4297719844901877,-0.5155693995802579
New England,2019,92.60816562381716,60.663866680794825,130.43119641447308,0.21020672600597834,-1.1663678841466094
Pacific,2005,83.34216998815648,56.871543459630786,125.45210633789898,0.08334212831710273,0.05687151502388038
Pacific,2006,83.23497045970649,55.04873435452354,125.45210633789898,-0.10719952845044377,-1.822809105115098
Pacific,2007,84.66902275164304,55.590481125189214,125.45210633789898,1.4340522919365526,0.5417467706656751
Pacific,2008,83.48041079855143,53.461115116946736,125.45210633789898,-1.188611953091609,-2.129366008242478
Pacific,2009,83.52498783551484,54.16175013222222,125.45210633789898,0.044577036963403316,0.7006350152754806
