Year,Census_Division,rate_health_care_coverage,rate_alochol_consum
2017,West South Central,79.35167674248557,49.81887817620385
2017,Mountain,87.28922152130657,51.87357541570271
2017,Pacific,89.81004519587715,57.2222197494623
2018,East North Central,90.74343628567499,55.30628725348361
2018,West North Central,89.67127491441431,56.93559874570035
2018,Middle Atlantic,90.30759322457284,55.79597855977847
2018,New England,92.78535928345207,62.032386618889255
2018,East South Central,88.21193232882156,42.443874473633855
2018,South Atlantic,85.72958331325043,50.86028031834125
2018,West South Central,80.28780583903047,50.00394219202569
2018,Mountain,87.65366522864855,51.019344273530905
2018,Pacific,89.02596048708743,54.44651958087563
2019,East North Central,89.58069642914671,55.392025402691814
2019,West North Central,89.24728315162672,57.175417039393096
2019,Middle Atlantic,89.93036705001155,55.17782481774454
2019,New England,92.60816562381716,60.663866680794825
2019,East South Central,86.69347395083516,42.71466986570475
2019,South Atlantic,85.62915004688696,51.175858443141976
2019,West South Central,79.16262169231736,50.2220652273726
2019,Mountain,86.28443286939714,50.739788339552476
2019,Pacific,88.22270145200419,54.68728259615829
2020,East North Central,91.1980430519284,52.505958680813976
2020,West North Central,89.70892829092605,55.78091139956484
2020,Middle Atlantic,89.96456910741955,54.89442965813643
2020,New England,93.37475621710755,59.48531649959033
2020,East South Central,87.20093645279744,44.55937956347529
2020,South Atlantic,85.30461243131703,50.9306910211936
2020,West South Central,78.75719933666232,49.18682860806208
2020,Mountain,86.90328864707158,50.32219041594053
2020,Pacific,89.72416737764101,53.26216760490442
2021,East North Central,NA,53.49757086072624
2021,West North Central,NA,56.03686865138579
2021,Middle Atlantic,NA,53.78093108151428
2021,New England,NA,57.98661272037131
2021,East South Central,NA,42.03918661288606
2021,South Atlantic,NA,51.27161533843199
2021,West South Central,NA,50.013658455559
2021,Mountain,NA,50.53475458878356
2021,Pacific,NA,54.68470411045919
2022,East North Central,NA,54.857060958884304
2022,West North Central,NA,55.719274686720304
2022,Middle Atlantic,NA,54.317918388196304
2022,New England,NA,58.34962195683006
2022,East South Central,NA,43.088995844851326
2022,South Atlantic,NA,52.12247842468583
2022,West South Central,NA,50.30810007262217
2022,Mountain,NA,52.207850069489815
2022,Pacific,NA,53.41485523333097
2023,East North Central,NA,53.32078513554909
2023,West North Central,NA,54.99774016126566
2023,Middle Atlantic,NA,54.328782958233845
2023,New England,NA,58.55902940112102
2023,East South Central,NA,45.6042804447594
2023,South Atlantic,NA,51.2446308757275
2023,West South Central,NA,48.6625486483158
2023,Mountain,NA,50.85520818553071
2023,Pacific,NA,52.070492634418834
2024,East North Central,NA,53.051656778649
2024,West North Central,NA,54.146167052084515
2024,Middle Atlantic,NA,52.823188332198576
2024,New England,NA,58.154657165858154
2024,East South Central,NA,43.14768402632597
2024,South Atlantic,NA,50.40615289976834
2024,West South Central,NA,48.38237142817261
2024,Mountain,NA,49.88727478290853
2024,Pacific,NA,52.00025608070941
2025,East North Central,NA,NA
2025,West North Central,NA,NA
2025,Middle Atlantic,NA,NA
2025,New England,NA,NA
2025,East South Central,NA,NA
2025,South Atlantic,NA,NA
2025,West South Central,NA,NA
2025,Mountain,NA,NA
2025,Pacific,NA,NA
