"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2024","CO","Colorado","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","5,887","59.3","58.2","60.5","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","08","BO1","CAT1","DRNKANY6","RESP046","    (38.843840757000464, -106.13361092099967)"
"2024","CO","Colorado","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","4,033","40.7","39.5","41.8","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","08","BO1","CAT1","DRNKANY6","RESP054","    (38.843840757000464, -106.13361092099967)"
"2024","CO","Colorado","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","6,007","52.7","51.6","53.8","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","08","BO1","CAT1","_MENT14D","RESP222","    (38.843840757000464, -106.13361092099967)"
"2024","CO","Colorado","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","3,247","32.2","31.1","33.2","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","08","BO1","CAT1","_MENT14D","RESP223","    (38.843840757000464, -106.13361092099967)"
"2024","CO","Colorado","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","1,496","15.2","14.4","16.0","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","08","BO1","CAT1","_MENT14D","RESP224","    (38.843840757000464, -106.13361092099967)"
"2024","CT","Connecticut","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","3,692","57.0","55.3","58.8","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","09","BO1","CAT1","DRNKANY6","RESP046","    (41.56266102000046, -72.64984095199964)"
"2024","CT","Connecticut","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","2,568","43.0","41.3","44.7","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","09","BO1","CAT1","DRNKANY6","RESP054","    (41.56266102000046, -72.64984095199964)"
"2024","CT","Connecticut","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","4,166","56.8","55.2","58.5","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","09","BO1","CAT1","_MENT14D","RESP222","    (41.56266102000046, -72.64984095199964)"
"2024","CT","Connecticut","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","1,935","29.2","27.7","30.8","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","09","BO1","CAT1","_MENT14D","RESP223","    (41.56266102000046, -72.64984095199964)"
"2024","CT","Connecticut","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","990","13.9","12.8","15.1","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","09","BO1","CAT1","_MENT14D","RESP224","    (41.56266102000046, -72.64984095199964)"
"2024","DC","District of Columbia","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","1,814","65.9","63.7","68.1","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","11","BO1","CAT1","DRNKANY6","RESP046","    (38.89037138500049, -77.03196112699965)"
"2024","DC","District of Columbia","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","1,060","34.1","31.9","36.3","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","11","BO1","CAT1","DRNKANY6","RESP054","    (38.89037138500049, -77.03196112699965)"
"2024","DC","District of Columbia","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","1,737","46.9","44.7","49.1","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","11","BO1","CAT1","_MENT14D","RESP222","    (38.89037138500049, -77.03196112699965)"
"2024","DC","District of Columbia","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","1,069","39.8","37.7","42.0","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","11","BO1","CAT1","_MENT14D","RESP223","    (38.89037138500049, -77.03196112699965)"
"2024","DC","District of Columbia","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","337","13.3","11.7","14.9","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","11","BO1","CAT1","_MENT14D","RESP224","    (38.89037138500049, -77.03196112699965)"
"2024","DE","Delaware","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","1,904","51.6","49.3","54.0","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","10","BO1","CAT1","DRNKANY6","RESP046","    (39.008830667000495, -75.57774116799965)"
"2024","DE","Delaware","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","1,865","48.4","46.0","50.7","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","10","BO1","CAT1","DRNKANY6","RESP054","    (39.008830667000495, -75.57774116799965)"
