Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$50,000+",Household Income,56,6.7,4.2,9.2,196,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME5,CAT6,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$50,000+",Household Income,731,93.3,90.8,95.8,191,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME5,CAT6,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"Less than $15,000",Household Income,69,NA,NA,NA,192,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,INCOME1,CAT6,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Less than $15,000",Household Income,101,NA,NA,NA,187,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,INCOME1,CAT6,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,398,18.1,15.6,20.6,154,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,BO1,CAT1,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,1678,81.9,79.4,84.4,153,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,BO1,CAT1,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"Black, non-Hispanic",Race/Ethnicity,5,NA,NA,NA,176,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,RACE2,CAT4,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Black, non-Hispanic",Race/Ethnicity,35,NA,NA,NA,172,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,RACE2,CAT4,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Hispanic,Race/Ethnicity,15,13.4,4.9,21.9,177,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE3,CAT4,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Hispanic,Race/Ethnicity,65,86.6,78.1,95.1,173,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE3,CAT4,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"Other, non-Hispanic",Race/Ethnicity,135,30.7,24.1,37.3,178,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE4,CAT4,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Other, non-Hispanic",Race/Ethnicity,290,69.3,62.7,75.9,174,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE4,CAT4,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"White, non-Hispanic",Race/Ethnicity,232,15.4,12.6,18.2,175,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE1,CAT4,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"White, non-Hispanic",Race/Ethnicity,1245,84.6,81.8,87.4,171,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE1,CAT4,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Female,Sex,205,16.8,13.5,20.1,158,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,SEX2,CAT2,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Female,Sex,888,83.2,79.9,86.5,156,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,SEX2,CAT2,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Male,Sex,193,19.2,15.5,22.9,157,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,SEX1,CAT2,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Male,Sex,790,80.8,77.1,84.5,155,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,SEX1,CAT2,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,18-24,Age Group,59,29.3,21.5,37.1,166,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE01,CAT3,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,18-24,Age Group,140,70.7,62.9,78.5,160,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE01,CAT3,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,25-34,Age Group,74,19.7,14.9,24.5,167,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE02,CAT3,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,25-34,Age Group,300,80.3,75.5,85.1,161,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE02,CAT3,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,35-44,Age Group,86,18.2,14.2,22.2,168,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE03,CAT3,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,35-44,Age Group,384,81.8,77.8,85.8,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE03,CAT3,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,45-54,Age Group,62,13.9,9.5,18.3,169,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE04,CAT3,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,45-54,Age Group,386,86.1,81.7,90.5,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE04,CAT3,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,55-64,Age Group,55,17.6,13,22.2,170,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE05,CAT3,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,55-64,Age Group,261,82.4,77.8,87,164,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE05,CAT3,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,65+,Age Group,9,1.5,0.5,2.5,171,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE09,CAT3,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,65+,Age Group,422,98.5,97.5,99.5,165,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,AGE09,CAT3,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2000,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,College graduate,Education Attained,35,6.4,4,8.8,187,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,EDUCA4,CAT5,HLTHPLAN,RESP054,"(32.840571122, -86.631860762)"
