year,census_region,sex,age5,population
2006,South,Female,60-64,2648399
2006,South,Female,65-69,2139322
2006,South,Female,70-74,1792246
2006,South,Female,75-79,1547966
2006,South,Female,80-84,1204007
2006,South,Female,85+,1105352
2006,South,Male,0-4,3813728
2006,South,Male,10-14,3891689
2006,South,Male,15-19,4043745
2006,South,Male,20-24,3963297
2006,South,Male,25-29,3686213
2006,South,Male,30-34,3569922
2006,South,Male,35-39,3798853
2006,South,Male,40-44,4012222
2006,South,Male,45-49,4015135
2006,South,Male,5-9,3676265
2006,South,Male,50-54,3580265
2006,South,Male,55-59,3225873
2006,South,Male,60-64,2409656
2006,South,Male,65-69,1881032
2006,South,Male,70-74,1477343
2006,South,Male,75-79,1151011
2006,South,Male,80-84,755193
2006,South,Male,85+,498087
2006,West,Female,0-4,2385478
2006,West,Female,10-14,2459643
2006,West,Female,15-19,2474448
2006,West,Female,20-24,2406144
2006,West,Female,25-29,2444114
2006,West,Female,30-34,2288489
2006,West,Female,35-39,2432408
2006,West,Female,40-44,2507719
2006,West,Female,45-49,2543673
2006,West,Female,5-9,2257390
2006,West,Female,50-54,2344486
2006,West,Female,55-59,2082052
2006,West,Female,60-64,1520889
2006,West,Female,65-69,1173029
2006,West,Female,70-74,961966
2006,West,Female,75-79,845814
2006,West,Female,80-84,691617
2006,West,Female,85+,649249
2006,West,Male,0-4,2494152
2006,West,Male,10-14,2582570
2006,West,Male,15-19,2644963
2006,West,Male,20-24,2627231
2006,West,Male,25-29,2545026
2006,West,Male,30-34,2389803
2006,West,Male,35-39,2508872
2006,West,Male,40-44,2540215
2006,West,Male,45-49,2530598
2006,West,Male,5-9,2365210
2006,West,Male,50-54,2276007
2006,West,Male,55-59,1995758
2006,West,Male,60-64,1421990
2006,West,Male,65-69,1063776
2006,West,Male,70-74,828000
2006,West,Male,75-79,664454
2006,West,Male,80-84,468105
2006,West,Male,85+,336427
2007,North Central,Female,0-4,2127473
2007,North Central,Female,10-14,2252253
2007,North Central,Female,15-19,2386817
2007,North Central,Female,20-24,2256818
2007,North Central,Female,25-29,2160008
2007,North Central,Female,30-34,2015028
2007,North Central,Female,35-39,2213670
2007,North Central,Female,40-44,2367087
2007,North Central,Female,45-49,2581924
2007,North Central,Female,5-9,2150367
2007,North Central,Female,50-54,2425099
2007,North Central,Female,55-59,2109153
2007,North Central,Female,60-64,1656280
2007,North Central,Female,65-69,1280120
2007,North Central,Female,70-74,1061142
2007,North Central,Female,75-79,973372
2007,North Central,Female,80-84,818148
2007,North Central,Female,85+,858648
2007,North Central,Male,0-4,2225002
2007,North Central,Male,10-14,2366798
2007,North Central,Male,15-19,2516259
2007,North Central,Male,20-24,2339867
2007,North Central,Male,25-29,2190858
2007,North Central,Male,30-34,2034728
2007,North Central,Male,35-39,2224153
2007,North Central,Male,40-44,2346921
2007,North Central,Male,45-49,2532352
2007,North Central,Male,5-9,2247669
2007,North Central,Male,50-54,2364373
2007,North Central,Male,55-59,2030321
2007,North Central,Male,60-64,1549049
2007,North Central,Male,65-69,1136851
2007,North Central,Male,70-74,876978
2007,North Central,Male,75-79,722689
2007,North Central,Male,80-84,520057
2007,North Central,Male,85+,375357
2007,Northeast,Female,0-4,1587948
2007,Northeast,Female,10-14,1769871
2007,Northeast,Female,15-19,1930373
2007,Northeast,Female,20-24,1800783
2007,Northeast,Female,25-29,1760604
2007,Northeast,Female,30-34,1677059
2007,Northeast,Female,35-39,1934857
2007,Northeast,Female,40-44,2114984
2007,Northeast,Female,45-49,2211236
2007,Northeast,Female,5-9,1622601
2007,Northeast,Female,50-54,2047161
2007,Northeast,Female,55-59,1802226
2007,Northeast,Female,60-64,1462491
2007,Northeast,Female,65-69,1093842
2007,Northeast,Female,70-74,920780
2007,Northeast,Female,75-79,870427
2007,Northeast,Female,80-84,746797
2007,Northeast,Female,85+,774156
2007,Northeast,Male,0-4,1661009
2007,Northeast,Male,10-14,1858586
2007,Northeast,Male,15-19,2025800
2007,Northeast,Male,20-24,1854633
2007,Northeast,Male,25-29,1742510
2007,Northeast,Male,30-34,1636495
2007,Northeast,Male,35-39,1870791
2007,Northeast,Male,40-44,2037193
2007,Northeast,Male,45-49,2120979
2007,Northeast,Male,5-9,1695420
2007,Northeast,Male,50-54,1942045
2007,Northeast,Male,55-59,1672468
2007,Northeast,Male,60-64,1317013
2007,Northeast,Male,65-69,937211
2007,Northeast,Male,70-74,733714
2007,Northeast,Male,75-79,624271
2007,Northeast,Male,80-84,456052
2007,Northeast,Male,85+,338976
2007,South,Female,0-4,3710237
2007,South,Female,10-14,3709523
2007,South,Female,15-19,3895881
2007,South,Female,20-24,3800421
2007,South,Female,25-29,3809173
2007,South,Female,30-34,3574090
2007,South,Female,35-39,3904765
2007,South,Female,40-44,4057632
2007,South,Female,45-49,4194310
2007,South,Female,5-9,3590442
2007,South,Female,50-54,3914870
2007,South,Female,55-59,3493849
2007,South,Female,60-64,2864271
2007,South,Female,65-69,2226188
2007,South,Female,70-74,1810934
2007,South,Female,75-79,1540697
2007,South,Female,80-84,1211079
2007,South,Female,85+,1138073
2007,South,Male,0-4,3871685
2007,South,Male,10-14,3887293
2007,South,Male,15-19,4106876
2007,South,Male,20-24,3981278
2007,South,Male,25-29,3779080
2007,South,Male,30-34,3552633
2007,South,Male,35-39,3845126
2007,South,Male,40-44,3955369
2007,South,Male,45-49,4055628
2007,South,Male,5-9,3747639
2007,South,Male,50-54,3698135
2007,South,Male,55-59,3231340
2007,South,Male,60-64,2615209
2007,South,Male,65-69,1960543
2007,South,Male,70-74,1502816
2007,South,Male,75-79,1158723
2007,South,Male,80-84,770045
2007,South,Male,85+,522889
2007,West,Female,0-4,2414611
2007,West,Female,10-14,2438435
2007,West,Female,15-19,2518255
2007,West,Female,20-24,2412141
2007,West,Female,25-29,2499474
2007,West,Female,30-34,2293157
2007,West,Female,35-39,2449547
2007,West,Female,40-44,2459460
2007,West,Female,45-49,2554743
2007,West,Female,5-9,2277273
2007,West,Female,50-54,2408619
2007,West,Female,55-59,2104245
2007,West,Female,60-64,1656156
2007,West,Female,65-69,1224655
2007,West,Female,70-74,978141
2007,West,Female,75-79,840728
2007,West,Female,80-84,693243
