"","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"54",21963.66567725,21669.54349554,22219.98845604,22957.25383413,23150.1467517,24117.27650792,24628.45071225,24527.95394829,25395.52970178,25341.75523449,25568.5305267,25919.45359328,26339.20958088,26022.64906692,25503.3409265,24981.68330487,23922.30060353,26955.46209856,29175.31549296,24727.6317012,22889.2606488
"55",23268.97768923,22777.59912588,23398.74926835,23645.09281896,24263.6473214,25099.3943976,25561.13857272,25635.42193478,26586.91276156,27444.42053062,27579.40215462,28041.6391908,28053.27135988,28543.36400808,27964.37466257,27314.46272619,26799.7589684,30502.2461772,32095.21767868,27233.97249669,24040.91011672
"56",25391.44424465,24277.55310971,24350.89754328,24538.37506365,24947.3215908,25947.34026071,26576.33277374,27031.64139709,27939.23857494,28603.69271828,29482.17747608,29941.12271286,30059.40573325,30219.00700676,30262.64650836,29859.1477324,28967.76271312,33807.6314868,36283.5428826,29685.29133706,26144.47472654
"57",21821.8730464,26838.14467428,26282.77429182,26019.89842488,26268.3198824,26516.95849071,27641.39558026,27953.57939844,29092.65822424,29746.18331181,30554.16506363,31921.28500211,32267.8712755,32472.58701717,32697.6458536,32542.87841712,31663.21721328,36578.03736325,39710.22153544,33511.6477019,29497.97092614
"58",23331.98604,23092.19594059,28626.92368695,28339.34536092,27522.87372984,27891.61491264,28271.29055982,29199.387684,29736.60206704,31102.9267563,32238.00712602,32914.77800366,33976.65928891,34270.57705216,34412.05910912,34612.5462865,34344.7386386,39241.142313,43052.015342,37398.3301152,32804.02247904
"59",25544.60724389,24201.22212074,24850.66048902,30518.64871127,29460.88706141,29255.24714652,29652.09364133,30136.9062657,30921.29520564,32091.00552405,33138.86546248,34353.0131518,35234.1541153,36646.83588936,36776.73410818,36631.04194092,36684.28630917,43103.69897044,46465.0951716,40489.34795024,36116.36761222
"60",28163.41546232,26378.64699408,26059.55612078,26301.55811652,32052.91756392,32019.18369514,31519.94701051,31138.48743795,31994.9373496,33236.41838424,34456.15568655,35866.24179012,36717.73353728,37764.321863,39049.55730761,38700.32340119,38699.315094,46309.09934829,50027.49733167,43831.69675368,39480.31174358
"61",27520.44988491,29427.0001238,28079.62894668,27113.20529904,27412.39989423,34656.31563264,33319.73413434,32566.8594631,32921.19257934,34294.5788288,35551.61120973,37442.7357042,38251.49112126,39623.81183106,40222.63759071,41306.7454176,41524.27569454,48867.65054508,53121.47336496,46871.5340199,42611.44542085
"62",28114.11430616,28764.57951444,31920.27418968,29991.10936484,28821.09100401,29574.03000585,36623.474442,35569.84983685,34968.2086908,35553.21103721,36693.22571008,38416.9390152,39703.47733146,41179.025637,41848.98292054,42826.7166743,43979.57240424,51332.37350964,56108.72731924,49891.29777471,46071.28528704
"63",28883.68205712,28967.68904274,30866.99032542,33162.93617058,31636.9868295,31103.82271017,31640.35258698,38350.59091248,37846.40192046,37544.03997336,38171.1251605,39579.88844036,41526.05181732,42037.8125132,43812.1494756,45104.586819,45365.0959604,54809.02212054,59159.55375594,52752.84089475,48926.2644828
"64",30520.41048288,30017.11349384,30916.41769944,31792.03305312,34759.90085059,34135.28167518,32520.26858517,33231.0237072,41313.42890024,40002.08776551,40290.00446295,40346.97973938,42019.45897512,43699.67816193,44988.43499908,45948.82314022,46931.81366709,56009.9552859,62156.47395905,55886.30203947,50849.87400376
"65",31759.24481127,31302.43282246,31519.69599456,31884.58698414,33806.63102421,37047.83461836,35431.9144972,34373.62375146,34548.00764562,43329.5157636,42833.64550084,42499.0191951,43484.23576728,44695.32928478,46147.29993568,47265.39893572,48160.97195392,58036.8997439,63018.8775306,58246.50353992,53606.58717128
