,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
35,-9.46080038519329,-9.34696903505787,-9.24438803146022,-9.15725604546312,-9.08725256187936,-9.03234456165791,-8.98670456022693,-8.94188626297158,-8.88893959972478,-8.82078388712126,-8.73403865204368,-8.62968735484974,-8.5123591877951,-8.3885082544553,-8.264165527125,-8.1430927668166,-8.02602938455519,-7.91135982856386
36,-9.43405878572278,-9.32022743558736,-9.21764643198971,-9.13051444599261,-9.06051096240884,-9.00560296218739,-8.95996296075642,-8.91514466350106,-8.86219800025426,-8.79404228765074,-8.70729705257316,-8.60294575537923,-8.48561758832459,-8.36176665498479,-8.23742392765448,-8.11635116734609,-7.99928778508468,-7.88461822909334
37,-9.41033356262853,-9.29650221249311,-9.19392120889546,-9.10678922289836,-9.03678573931459,-8.98187773909314,-8.93623773766217,-8.89141944040681,-8.83847277716001,-8.77031706455649,-8.68357182947891,-8.57922053228498,-8.46189236523034,-8.33804143189054,-8.21369870456023,-8.09262594425184,-7.97556256199043,-7.86089300599909
38,-9.39004593514402,-9.2762145850086,-9.17363358141095,-9.08650159541385,-9.01649811183009,-8.96159011160864,-8.91595011017766,-8.8711318129223,-8.8181851496755,-8.75002943707199,-8.66328420199441,-8.55893290480047,-8.44160473774583,-8.31775380440603,-8.19341107707573,-8.07233831676733,-7.95527493450592,-7.84060537851459
39,-9.37359980933097,-9.25976845919555,-9.1571874555979,-9.07005546960081,-9.00005198601704,-8.94514398579559,-8.89950398436462,-8.85468568710926,-8.80173902386246,-8.73358331125894,-8.64683807618136,-8.54248677898743,-8.42515861193278,-8.30130767859298,-8.17696495126268,-8.05589219095428,-7.93882880869288,-7.82415925270154
40,-9.36139476295816,-9.24756341282274,-9.14498240922509,-9.057850423228,-8.98784693964423,-8.93293893942278,-8.88729893799181,-8.84248064073645,-8.78953397748965,-8.72137826488613,-8.63463302980855,-8.53028173261462,-8.41295356555997,-8.28910263222017,-8.16475990488987,-8.04368714458147,-7.92662376232007,-7.81195420632873
41,-9.35383037379436,-9.23999902365894,-9.1374180200613,-9.0502860340642,-8.98028255048043,-8.92537455025898,-8.87973454882801,-8.83491625157265,-8.78196958832585,-8.71381387572233,-8.62706864064475,-8.52271734345082,-8.40538917639617,-8.28153824305637,-8.15719551572607,-8.03612275541767,-7.91905937315627,-7.80438981716493
42,-9.35130621960835,-9.23747486947293,-9.13489386587528,-9.04776187987818,-8.97775839629442,-8.92285039607297,-8.87721039464199,-8.83239209738663,-8.77944543413983,-8.71128972153632,-8.62454448645874,-8.5201931892648,-8.40286502221016,-8.27901408887036,-8.15467136154006,-8.03359860123166,-7.91653521897025,-7.80186566297891
43,-9.3541615840072,-9.24033023387178,-9.13774923027414,-9.05061724427704,-8.98061376069327,-8.92570576047182,-8.88006575904085,-8.83524746178549,-8.78230079853869,-8.71414508593517,-8.62739985085759,-8.52304855366366,-8.40572038660901,-8.28186945326921,-8.15752672593891,-8.03645396563051,-7.91939058336911,-7.80472102737777
44,-9.36249457395123,-9.24866322381581,-9.14608222021816,-9.05895023422106,-8.9889467506373,-8.93403875041585,-8.88839874898488,-8.84358045172952,-8.79063378848272,-8.7224780758792,-8.63573284080162,-8.53138154360769,-8.41405337655304,-8.29020244321324,-8.16585971588294,-8.04478695557454,-7.92772357331314,-7.8130540173218
45,-9.37634300223904,-9.26251165210362,-9.15993064850597,-9.07279866250887,-9.0027951789251,-8.94788717870365,-8.90224717727268,-8.85742888001732,-8.80448221677052,-8.736326504167,-8.64958126908942,-8.54522997189549,-8.42790180484084,-8.30405087150105,-8.17970814417074,-8.05863538386235,-7.94157200160094,-7.8269024456096
46,-9.39574468166922,-9.2819133315338,-9.17933232793616,-9.09220034193906,-9.02219685835529,-8.96728885813384,-8.92164885670287,-8.87683055944751,-8.82388389620071,-8.75572818359719,-8.66898294851961,-8.56463165132568,-8.44730348427103,-8.32345255093123,-8.19910982360093,-8.07803706329253,-7.96097368103113,-7.84630412503979
47,-9.42073742504041,-9.30690607490499,-9.20432507130734,-9.11719308531024,-9.04718960172648,-8.99228160150503,-8.94664160007406,-8.9018233028187,-8.8488766395719,-8.78072092696838,-8.6939756918908,-8.58962439469687,-8.47229622764222,-8.34844529430242,-8.22410256697212,-8.10302980666372,-7.98596642440232,-7.87129686841098
48,-9.45127510951983,-9.33744375938441,-9.23486275578676,-9.14773076978966,-9.0777272862059,-9.02281928598445,-8.97717928455348,-8.93236098729812,-8.87941432405132,-8.8112586114478,-8.72451337637022,-8.62016207917629,-8.50283391212164,-8.37898297878184,-8.25464025145154,-8.13356749114314,-8.01650410888174,-7.9018345528904
49,-9.4869758697493,-9.37314451961388,-9.27056351601623,-9.18343153001913,-9.11342804643537,-9.05852004621392,-9.01288004478295,-8.96806174752759,-8.91511508428079,-8.84695937167727,-8.76021413659969,-8.65586283940576,-8.53853467235111,-8.41468373901131,-8.29034101168101,-8.16926825137261,-8.05220486911121,-7.93753531311987
50,-9.52737390473927,-9.41354255460385,-9.3109615510062,-9.2238295650091,-9.15382608142534,-9.09891808120389,-9.05327807977291,-9.00845978251755,-8.95551311927075,-8.88735740666724,-8.80061217158966,-8.69626087439572,-8.57893270734108,-8.45508177400128,-8.33073904667098,-8.20966628636258,-8.09260290410117,-7.97793334810984
51,-9.57200341350018,-9.45817206336476,-9.35559105976711,-9.26845907377001,-9.19845559018625,-9.1435475899648,-9.09790758853382,-9.05308929127846,-9.00014262803166,-8.93198691542815,-8.84524168035057,-8.74089038315663,-8.62356221610199,-8.49971128276219,-8.37536855543189,-8.25429579512349,-8.13723241286208,-8.02256285687074
52,-9.62039859504248,-9.50656724490706,-9.40398624130941,-9.31685425531231,-9.24685077172855,-9.1919427715071,-9.14630277007613,-9.10148447282077,-9.04853780957397,-8.98038209697045,-8.89363686189287,-8.78928556469894,-8.67195739764429,-8.54810646430449,-8.42376373697419,-8.30269097666579,-8.18562759440439,-8.07095803841305
53,-9.67206128614849,-9.55822993601307,-9.45564893241542,-9.36851694641832,-9.29851346283455,-9.24360546261311,-9.19796546118213,-9.15314716392677,-9.10020050067997,-9.03204478807645,-8.94529955299888,-8.84094825580494,-8.7236200887503,-8.5997691554105,-8.47542642808019,-8.3543536677718,-8.23729028551039,-8.12262072951905
54,-9.72636387468797,-9.61253252455255,-9.5099515209549,-9.4228195349578,-9.35281605137403,-9.29790805115259,-9.25226804972161,-9.20744975246625,-9.15450308921945,-9.08634737661593,-8.99960214153836,-8.89525084434442,-8.77792267728978,-8.65407174394998,-8.52972901661967,-8.40865625631128,-8.29159287404987,-8.17692331805853
55,-9.78264638630255,-9.66881503616713,-9.56623403256948,-9.47910204657238,-9.40909856298862,-9.35419056276717,-9.30855056133619,-9.26373226408083,-9.21078560083403,-9.14262988823052,-9.05588465315294,-8.951533355959,-8.83420518890436,-8.71035425556456,-8.58601152823426,-8.46493876792586,-8.34787538566445,-8.23320582967311
56,-9.84024884663387,-9.72641749649845,-9.6238364929008,-9.5367045069037,-9.46670102331993,-9.41179302309849,-9.36615302166751,-9.32133472441215,-9.26838806116535,-9.20023234856184,-9.11348711348426,-9.00913581629032,-8.89180764923568,-8.76795671589588,-8.64361398856557,-8.52254122825718,-8.40547784599577,-8.29080829000443
57,-9.89851128132355,-9.78467993118813,-9.68209892759048,-9.59496694159339,-9.52496345800962,-9.47005545778817,-9.4244154563572,-9.37959715910184,-9.32665049585504,-9.25849478325152,-9.17174954817394,-9.06739825098001,-8.95007008392536,-8.82621915058556,-8.70187642325526,-8.58080366294686,-8.46374028068546,-8.34907072469412
58,-9.95688371173963,-9.84305236160421,-9.74047135800656,-9.65333937200947,-9.5833358884257,-9.52842788820425,-9.48278788677328,-9.43796958951792,-9.38502292627112,-9.3168672136676,-9.23012197859002,-9.12577068139609,-9.00844251434144,-8.88459158100164,-8.76024885367134,-8.63917609336294,-8.52211271110154,-8.4074431551102
59,-10.0152561421557,-9.9014247920203,-9.79884378842265,-9.71171180242555,-9.64170831884178,-9.58680031862033,-9.54116031718936,-9.496342019934,-9.4433953566872,-9.37523964408368,-9.2884944090061,-9.18414311181217,-9.06681494475752,-8.94296401141773,-8.81862128408742,-8.69754852377902,-8.58048514151762,-8.46581558552628
60,-10.0736285725718,-9.95979722243638,-9.85721621883873,-9.77008423284163,-9.70008074925786,-9.64517274903641,-9.59953274760544,-9.55471445035008,-9.50176778710328,-9.43361207449976,-9.34686683942218,-9.24251554222825,-9.1251873751736,-9.0013364418338,-8.8769937145035,-8.7559209541951,-8.6388575719337,-8.52418801594236
61,-10.1320010029879,-10.0181696528525,-9.91558864925481,-9.82845666325771,-9.75845317967394,-9.7035451794525,-9.65790517802152,-9.61308688076616,-9.56014021751936,-9.49198450491584,-9.40523926983827,-9.30088797264433,-9.18355980558969,-9.05970887224989,-8.93536614491958,-8.81429338461119,-8.69723000234978,-8.58256044635844
62,-10.190373433404,-10.0765420832685,-9.97396107967089,-9.88682909367379,-9.81682561009003,-9.76191760986858,-9.7162776084376,-9.67145931118224,-9.61851264793544,-9.55035693533193,-9.46361170025435,-9.35926040306041,-9.24193223600577,-9.11808130266597,-8.99373857533567,-8.87266581502727,-8.75560243276586,-8.64093287677452
63,-10.24874586382,-10.1349145136846,-10.032333510087,-9.94520152408987,-9.8751980405061,-9.82029004028466,-9.77465003885368,-9.72983174159832,-9.67688507835152,-9.608729365748,-9.52198413067043,-9.41763283347649,-9.30030466642185,-9.17645373308205,-9.05211100575174,-8.93103824544335,-8.81397486318194,-8.6993053071906
64,-10.3071182942361,-10.1932869441007,-10.090705940503,-10.0035739545059,-9.93357047092218,-9.87866247070074,-9.83302246926976,-9.7882041720144,-9.7352575087676,-9.66710179616408,-9.5803565610865,-9.47600526389257,-9.35867709683793,-9.23482616349813,-9.11048343616782,-8.98941067585943,-8.87234729359802,-8.75767773760668
65,-10.3654907246522,-10.2516593745168,-10.1490783709191,-10.061946384922,-9.99194290133827,-9.93703490111682,-9.89139489968584,-9.84657660243048,-9.79362993918368,-9.72547422658017,-9.63872899150259,-9.53437769430865,-9.41704952725401,-9.29319859391421,-9.16885586658391,-9.04778310627551,-8.9307197240141,-8.81605016802276
